Unnamed: 0,X1,X3,X4,X6,X7,X9,X10,X11,X12,X13,X15,X17,X19,X20,X23
ID,LIMIT_BAL,EDUCATION,MARRIAGE,PAY_0,PAY_2,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT4,BILL_AMT6,PAY_AMT2,PAY_AMT3,PAY_AMT6
1,20000,2,1,2,2,-1,-2,-2,3913,3102,0,0,689,0,0
2,120000,2,2,-1,2,0,0,2,2682,1725,3272,3261,1000,1000,2000
3,90000,2,2,0,0,0,0,0,29239,14027,14331,15549,1500,1000,5000
4,50000,2,1,0,0,0,0,0,46990,48233,28314,29547,2019,1200,1000
5,50000,2,1,-1,0,0,0,0,8617,5670,20940,19131,36681,10000,679
6,50000,1,2,0,0,0,0,0,64400,57069,19394,20024,1815,657,800
7,500000,1,2,0,0,0,0,0,367965,412023,542653,473944,40000,38000,13770
8,100000,2,2,0,-1,0,0,-1,11876,380,221,567,601,0,1542
9,140000,3,1,0,0,0,0,0,11285,14096,12211,3719,0,432,1000
10,20000,3,2,-2,-2,-2,-1,-1,0,0,0,13912,0,0,0
11,200000,3,2,0,0,0,0,-1,11073,9787,2513,3731,12,50,66
12,260000,1,2,-1,-1,-1,-1,2,12261,21670,8517,13668,9966,8583,3640
13,630000,2,2,-1,0,-1,-1,-1,12137,6500,6500,2870,6500,6500,0
14,70000,2,2,1,2,0,0,2,65802,67369,66782,36894,0,3000,0
15,250000,1,2,0,0,0,0,0,70887,67060,59696,55512,3000,3000,3000
16,50000,3,3,1,2,0,0,0,50614,29173,28771,30211,1500,1100,1100
17,20000,1,2,0,0,2,2,2,15376,18010,18338,19104,0,1500,0
18,320000,1,1,0,0,-1,-1,-1,253286,246536,70074,195599,10000,75940,50000
19,360000,1,1,1,-2,-2,-2,-2,0,0,0,0,0,0,0
20,180000,1,2,1,-2,-2,-2,-2,0,0,0,0,0,0,0
21,130000,3,2,0,0,0,0,-1,38358,27688,20616,930,1537,1000,33764
22,120000,2,1,-1,-1,-1,-1,-1,316,316,0,316,316,0,0
23,70000,2,2,2,0,2,2,2,41087,42445,44006,46012,3582,0,1820
24,450000,1,1,-2,-2,-2,-2,-2,5512,19420,560,0,1473,560,1128
25,90000,1,2,0,0,-1,0,0,4744,7070,5398,8292,0,5398,2000
26,50000,3,2,0,0,0,0,0,47620,41810,28967,30046,1426,1001,997
27,60000,1,2,1,-2,-1,-1,-1,-109,-425,-57,-189,1000,0,1000
28,50000,3,2,0,0,0,0,0,22541,16138,17878,19617,1300,1000,1012
29,50000,3,1,-1,-1,-1,-1,-1,650,3415,2040,257,3421,2044,0
30,50000,1,2,0,0,0,0,0,15329,16575,17907,11400,1500,1000,0
31,230000,1,2,-1,-1,-1,-1,-1,16646,17265,15339,36923,13281,15339,0
32,50000,2,2,2,0,0,0,0,30518,29618,22734,23680,1500,1000,716
33,100000,1,2,0,0,0,0,0,93036,84071,80958,75589,3511,3302,2504
34,500000,2,1,-2,-2,-2,-2,-2,10929,4152,7521,8981,22827,7521,51582
35,500000,1,1,-2,-2,-2,-2,-2,13709,5006,3180,5293,31178,3180,768
36,160000,1,2,-1,-1,-2,-2,-1,30265,-131,-923,-1884,396,396,0
37,280000,2,1,0,0,0,0,0,186503,181328,170410,177413,8060,6300,6737
38,60000,2,2,0,0,0,0,-1,15054,9806,6026,18660,1518,2043,617
39,50000,1,2,1,-1,-2,-2,-2,0,780,0,0,0,0,0
40,280000,1,2,-1,-1,-1,0,-1,498,9075,9976,9477,0,9976,781
41,360000,1,2,0,0,0,0,0,218668,221296,628699,179224,7000,6000,4000
42,70000,1,2,0,0,0,0,0,67521,66999,63699,65970,4500,4042,2500
43,10000,2,2,0,0,0,0,0,1877,3184,3576,4451,2927,1000,500
44,140000,2,1,0,0,0,0,0,59504,61544,64280,69802,3000,3000,3000
45,40000,1,2,0,0,2,0,0,18927,21295,25209,29197,5000,0,0
46,210000,1,2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0
47,20000,1,2,0,0,-1,0,0,14028,16484,16341,0,0,16741,0
48,150000,5,2,0,0,0,0,-2,4463,3034,1170,0,1170,0,0
49,380000,2,2,-1,-1,-1,-1,-1,22401,21540,32018,11873,15138,24677,8251
50,20000,1,2,0,0,0,0,0,17447,18479,19865,20063,1315,704,1069
51,70000,3,2,1,2,2,2,0,37042,36171,39423,39362,3100,2000,1500
52,100000,3,3,0,0,0,0,0,61559,51163,39619,33258,1606,1500,1000
53,310000,2,1,-2,-2,-2,-2,-2,13465,7867,11185,464,7600,11185,0
54,180000,1,2,1,2,0,0,0,41402,41742,43510,45319,2010,1762,1622
55,150000,1,2,2,0,0,0,0,46224,34993,26518,16540,1718,1049,5000
56,500000,1,1,-2,-2,-2,-2,-2,1905,3640,0,2530,162,0,0
57,180000,3,1,0,0,-1,-1,-1,16386,15793,7142,8321,1500,7500,2000
58,180000,2,1,0,0,0,0,0,175886,173440,168608,129918,7296,5253,3800
59,200000,1,2,-1,3,2,2,2,1587,1098,1166,1414,0,700,0
60,400000,2,1,0,0,0,0,0,400134,398857,360199,364089,15029,30000,23000
61,500000,3,1,0,0,0,0,0,22848,23638,14937,15571,1300,1000,2000
62,70000,2,1,0,0,0,0,-1,70800,72060,16518,830,2095,1000,0
63,50000,1,2,2,2,2,2,2,24987,24300,25865,28264,2700,0,0
64,50000,2,1,0,0,-2,-2,-2,28718,29166,0,0,0,0,0
