Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
12.0,337.54166,2.0,23.0,32.0,1249.8661,0.0055,0.02577466,0.0,0.0,MASK,MASK,MASK,MASK,MASK,MASK,MASK,MASK
0.0,0.0,0.0,0.0,18.0,356.0,0.011111111,0.03888889,0.0,0.2,May,3,2,3,13,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,5.0,51.0,0.0,0.04,0.0,0.0,Nov,3,2,3,13,Returning_Visitor,False,False
0.0,0.0,1.0,141.5,43.0,3044.047,0.0,0.004545455,3.9404228,0.0,Dec,2,4,1,10,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,60.0,967.25,0.006779661,0.025141243,0.0,0.6,May,2,4,3,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,16.0,1500.0333,0.00625,0.01467803,0.0,0.0,Nov,3,2,4,6,Returning_Visitor,False,False
1.0,3.0,0.0,0.0,11.0,271.71667,0.0,0.016666668,0.0,0.0,MASK,MASK,MASK,MASK,MASK,MASK,MASK,MASK
1.0,67.4,0.0,0.0,18.0,297.5,0.031578947,0.040350877,0.0,0.0,MASK,MASK,MASK,MASK,MASK,MASK,MASK,MASK
0.0,0.0,0.0,0.0,19.0,536.26666,0.044736844,0.06817043,0.0,0.0,MASK,MASK,MASK,MASK,MASK,MASK,MASK,MASK
0.0,0.0,1.0,12.0,22.0,1668.95,0.0,0.00952381,12.18867,0.0,Dec,2,2,1,2,New_Visitor,True,True
0.0,0.0,0.0,0.0,25.0,1512.5238,0.0,0.024,0.0,0.0,MASK,MASK,MASK,MASK,MASK,MASK,MASK,MASK
0.0,0.0,0.0,0.0,11.0,292.9,0.028,0.11952381,0.0,0.0,MASK,MASK,MASK,MASK,MASK,MASK,MASK,MASK
0.0,0.0,0.0,0.0,20.0,298.5,0.01,0.04,0.0,0.0,May,2,4,3,1,Returning_Visitor,False,False
2.0,40.5,1.0,4.0,19.0,472.54166,0.0,0.005,0.0,0.0,Nov,1,1,4,2,Returning_Visitor,False,False
1.0,0.0,0.0,0.0,1.0,17.2,0.05,0.15,0.0,0.0,MASK,MASK,MASK,MASK,MASK,MASK,MASK,MASK
2.0,70.666664,1.0,101.0,56.0,1086.0742,0.010526316,0.022368422,14.840538,0.0,MASK,MASK,MASK,MASK,MASK,MASK,MASK,MASK
14.0,416.2,0.0,0.0,90.0,8024.5093,0.008247423,0.032048255,10.319308,0.0,Sep,3,2,8,2,Returning_Visitor,False,False
8.0,580.2,1.0,145.6,48.0,2734.9666,0.0,0.007692308,27.60143,0.0,Oct,2,2,4,5,New_Visitor,False,True
0.0,0.0,0.0,0.0,49.0,2612.3572,0.0,0.00952381,0.0,0.0,MASK,MASK,MASK,MASK,MASK,MASK,MASK,MASK
13.0,140.55,1.0,24.7,149.0,8147.1113,0.011111111,0.050691713,0.0,0.0,MASK,MASK,MASK,MASK,MASK,MASK,MASK,MASK
14.0,352.10715,2.0,759.0,64.0,3660.3428,0.014155251,0.023835616,9.6410675,0.0,Nov,3,2,3,2,Returning_Visitor,True,True
0.0,0.0,0.0,0.0,21.0,455.08334,0.0,0.010526316,14.1326885,0.0,MASK,MASK,MASK,MASK,MASK,MASK,MASK,MASK
0.0,0.0,0.0,0.0,6.0,212.0,0.026666667,0.03968254,0.0,0.0,Mar,3,2,3,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,22.0,366.75,0.018181818,0.04090909,0.0,0.0,Nov,2,2,6,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,3.0,1666.5,0.0,0.03333333,0.0,0.0,Nov,2,5,3,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,9.0,125.25,0.0,0.03333333,0.0,0.0,MASK,MASK,MASK,MASK,MASK,MASK,MASK,MASK
4.0,136.5,0.0,0.0,130.0,3507.3652,0.022807019,0.042471565,0.0,0.0,MASK,MASK,MASK,MASK,MASK,MASK,MASK,MASK
0.0,0.0,0.0,0.0,18.0,391.58334,0.0,0.025,0.0,0.0,Dec,2,2,7,2,New_Visitor,False,False
