39, 13, Never-married, Adm-clerical, Not-in-family, White, 0, 40, United-States, <=50K
50,13, Married-civ-spouse, Exec-managerial, Husband, White,0,13, United-States, <=50K
38,9, Divorced, Handlers-cleaners, Not-in-family, White,0,40, United-States, <=50K
53,7, Married-civ-spouse, Handlers-cleaners, Husband, Black,0,40, United-States, <=50K
28,13, Married-civ-spouse, Prof-specialty, Wife, Black,0,40, Cuba, <=50K
37,14, Married-civ-spouse, Exec-managerial, Wife, White,0,40, United-States, <=50K
49,5, Married-spouse-absent, Other-service, Not-in-family, Black,0,16, Jamaica, <=50K
52,9, Married-civ-spouse, Exec-managerial, Husband, White,0,45, United-States, >50K
31,14, Never-married, Prof-specialty, Not-in-family, White,0,50, United-States, >50K
42,13, Married-civ-spouse, Exec-managerial, Husband, White,0,40, United-States, >50K
37,10, Married-civ-spouse, Exec-managerial, Husband, Black,0,80, United-States, >50K
30,13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander,0,40, India, >50K
23,13, Never-married, Adm-clerical, Own-child, White,0,30, United-States, <=50K
32,12, Never-married, Sales, Not-in-family, Black,0,50, United-States, <=50K
40,11, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander,0,40, ?, >50K
34,4, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo,0,45, Mexico, <=50K
25,9, Never-married, Farming-fishing, Own-child, White,0,35, United-States, <=50K
32,9, Never-married, Machine-op-inspct, Unmarried, White,0,40, United-States, <=50K
38,7, Married-civ-spouse, Sales, Husband, White,0,50, United-States, <=50K
43,14, Divorced, Exec-managerial, Unmarried, White,0,45, United-States, >50K
40,16, Married-civ-spouse, Prof-specialty, Husband, White,0,60, United-States, >50K
54,9, Separated, Other-service, Unmarried, Black,0,20, United-States, <=50K
35,5, Married-civ-spouse, Farming-fishing, Husband, Black,0,40, United-States, <=50K
43,7, Married-civ-spouse, Transport-moving, Husband, White,2042,40, United-States, <=50K
59,9, Divorced, Tech-support, Unmarried, White,0,40, United-States, <=50K
