0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
27.0,0.0,24.0,2549.375,0.0,63973.523,0.2,0.2,0.0,0.0,Oct,1,1,3,2,Returning_Visitor,False,False
27.0,0.0,0.0,0.0,705.0,0.0,0.0,0.2,361.76373,0.0,Dec,2,2,7,8,New_Visitor,True,False
0.0,3398.75,0.0,0.0,705.0,63973.523,0.2,0.0,0.0,0.0,May,2,2,3,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,705.0,0.0,0.0,0.0,361.76373,1.0,Mar,1,1,3,1,Returning_Visitor,False,False
0.0,3398.75,24.0,0.0,0.0,0.0,0.0,0.0,361.76373,1.0,Sep,3,2,1,1,Returning_Visitor,False,True
27.0,0.0,0.0,2549.375,0.0,63973.523,0.2,0.0,0.0,0.0,May,1,5,1,4,Returning_Visitor,False,False
0.0,3398.75,0.0,2549.375,0.0,63973.523,0.0,0.2,361.76373,0.0,Oct,2,2,1,2,New_Visitor,False,False
0.0,3398.75,0.0,0.0,705.0,63973.523,0.0,0.2,361.76373,0.0,Mar,2,2,1,2,Returning_Visitor,False,False
0.0,3398.75,0.0,2549.375,705.0,0.0,0.0,0.0,0.0,0.0,Mar,1,1,1,1,Returning_Visitor,True,False
0.0,3398.75,0.0,2549.375,705.0,63973.523,0.2,0.2,0.0,1.0,Nov,3,2,1,13,Returning_Visitor,False,False
27.0,0.0,24.0,2549.375,705.0,63973.523,0.0,0.2,0.0,0.0,Nov,2,2,1,2,New_Visitor,True,False
27.0,3398.75,0.0,0.0,705.0,63973.523,0.2,0.0,361.76373,0.0,Jul,2,2,3,2,Returning_Visitor,False,False
27.0,3398.75,0.0,2549.375,705.0,0.0,0.0,0.2,0.0,0.0,Nov,3,2,2,10,Returning_Visitor,False,True
0.0,3398.75,0.0,2549.375,0.0,0.0,0.0,0.2,361.76373,1.0,Aug,1,1,4,2,Returning_Visitor,False,False
0.0,0.0,24.0,2549.375,705.0,63973.523,0.2,0.0,361.76373,1.0,Nov,2,2,1,1,Returning_Visitor,True,False
0.0,3398.75,24.0,2549.375,705.0,0.0,0.2,0.0,361.76373,0.0,May,3,2,2,19,Returning_Visitor,True,False
27.0,0.0,0.0,0.0,0.0,63973.523,0.0,0.0,361.76373,0.0,Nov,1,8,8,11,Returning_Visitor,True,False
