0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0.0,3398.75,24.0,0.0,705.0,63973.523,0.2,0.0,0.0,0.0,Oct,1,1,3,2,Returning_Visitor,False,False
27.0,0.0,24.0,2549.375,705.0,63973.523,0.2,0.0,361.76373,0.0,Dec,2,2,7,8,New_Visitor,True,False
0.0,0.0,24.0,0.0,705.0,0.0,0.0,0.0,361.76373,1.0,May,2,2,3,3,Returning_Visitor,False,False
27.0,3398.75,0.0,0.0,0.0,0.0,0.009090909,0.2,347.91492,0.0,Mar,1,1,3,1,Returning_Visitor,False,False
0.0,3398.75,24.0,0.0,705.0,63973.523,0.0,0.0,0.0,0.0,Sep,3,2,1,1,Returning_Visitor,False,True
0.0,0.0,0.0,2549.375,0.0,0.0,0.2,0.2,0.0,1.0,May,1,5,1,4,Returning_Visitor,False,False
27.0,3398.75,24.0,0.0,0.0,63973.523,0.2,0.2,41.98744,0.0,Oct,2,2,1,2,New_Visitor,False,False
0.0,0.0,0.0,0.0,0.0,63973.523,0.2,0.2,0.0,1.0,Mar,2,2,1,2,Returning_Visitor,False,False
0.0,3398.75,0.0,0.0,705.0,0.0,0.2,0.0,361.76373,0.0,Mar,1,1,1,1,Returning_Visitor,True,False
26.971346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nov,3,2,1,13,Returning_Visitor,False,False
0.0,3398.75,24.0,2549.375,0.0,63973.523,0.0,0.2,0.0,1.0,Nov,2,2,1,2,New_Visitor,True,False
0.0,0.0,0.0,0.0,705.0,0.0,0.2,0.2,0.0,1.0,Jul,2,2,3,2,Returning_Visitor,False,False
27.0,0.0,0.0,2549.375,0.0,63973.523,0.2,0.0,0.0,1.0,Nov,3,2,2,10,Returning_Visitor,False,True
27.0,3398.75,0.0,0.0,705.0,63973.523,0.0,0.2,0.0,0.0,Aug,1,1,4,2,Returning_Visitor,False,False
27.0,0.0,24.0,0.0,0.0,63973.523,0.2,0.08052114,361.76373,0.0,Nov,2,2,1,1,Returning_Visitor,True,False
27.0,3398.75,24.0,0.0,705.0,63973.523,0.2,0.0,361.76373,1.0,May,3,2,2,19,Returning_Visitor,True,False
27.0,0.0,0.0,2549.375,705.0,63973.523,0.2,0.2,361.76373,0.0,Nov,1,8,8,11,Returning_Visitor,True,False
27.0,3398.75,24.0,0.0,0.0,0.0,0.2,0.2,361.76373,1.0,Mar,1,1,1,2,New_Visitor,False,False
27.0,3398.75,0.0,0.0,0.0,63973.523,0.2,0.0,361.76373,0.0,May,3,2,6,13,Returning_Visitor,False,False
27.0,0.0,24.0,0.0,0.0,63973.523,0.2,0.0,361.76373,0.0,May,2,2,1,3,New_Visitor,False,False
27.0,0.0,24.0,0.0,0.0,0.0,0.2,0.2,361.76373,1.0,May,2,2,1,13,Returning_Visitor,False,False
27.0,3398.75,0.0,0.0,705.0,0.0,0.0,0.0,0.0,1.0,Mar,2,2,1,2,New_Visitor,True,False
27.0,3398.75,0.0,2549.375,0.0,0.0,0.0,0.0,361.76373,1.0,May,2,5,1,3,Returning_Visitor,False,False
0.0,3398.75,0.0,2549.375,0.0,63973.523,0.2,0.2,361.76373,0.0,Nov,3,2,8,1,Returning_Visitor,True,True
27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,361.76373,0.0,May,2,2,3,1,Returning_Visitor,False,False
26.99134,0.0,0.0,0.0,705.0,63973.523,0.2,0.2,0.0,0.0,Dec,2,2,7,10,Returning_Visitor,False,False
27.0,3398.75,24.0,0.0,705.0,0.0,0.0,0.0,0.0,0.0,Mar,1,1,2,2,New_Visitor,True,False
27.0,0.0,0.0,0.0,705.0,0.0,0.2,0.2,361.76373,1.0,June,2,2,9,1,Returning_Visitor,False,False
27.0,0.0,0.0,2549.375,705.0,0.0,0.2,0.0,361.76373,0.0,Dec,2,4,1,1,Returning_Visitor,True,True
3.0,3398.75,0.0,2549.375,0.0,63973.523,0.2,0.2,361.76373,1.0,May,2,2,1,4,Returning_Visitor,True,False
3.0,0.0,0.0,0.0,705.0,0.0,0.2,0.2,0.0,1.0,Jul,1,1,1,5,Returning_Visitor,False,True
0.0,3398.75,0.0,2549.375,0.0,63973.523,0.2,0.0,0.0,1.0,Mar,2,2,1,1,Returning_Visitor,False,False
0.0,79.60716,24.0,2549.375,0.0,63973.523,0.2,0.0,0.0,0.0,May,4,1,3,2,Returning_Visitor,False,False
0.0,0.0,24.0,0.0,705.0,0.0,0.2,0.0,0.0,0.0,Nov,2,4,9,8,New_Visitor,False,True
27.0,3398.75,0.0,0.0,705.0,63973.523,0.2,0.2,0.0,0.0,May,2,2,2,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,353.93924,1.0,Nov,2,2,3,1,Returning_Visitor,False,True
0.0,3398.75,0.0,2549.375,705.0,63973.523,0.0,0.2,361.76373,0.0,May,1,1,1,3,Returning_Visitor,True,False
27.0,0.0,0.0,0.0,0.0,63973.523,0.2,0.0,0.0,0.0,Oct,1,1,1,2,Returning_Visitor,False,False
0.0,0.0,0.0,2549.375,3.0,63973.523,0.2,0.2,361.76373,0.0,May,2,2,7,4,Returning_Visitor,False,False
0.0,0.0,0.0,2549.375,705.0,63973.523,0.0,0.0,361.76373,0.0,Dec,2,2,2,2,Returning_Visitor,True,False
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.572761,1.0,Nov,1,1,3,2,Returning_Visitor,False,False
0.0,0.0,0.0,2549.375,0.0,63973.523,0.2,0.2,361.76373,0.0,May,2,5,5,4,New_Visitor,True,True
0.0,3398.75,24.0,0.0,705.0,0.0,0.2,0.2,0.0,1.0,May,4,2,1,5,New_Visitor,False,False
27.0,3398.75,24.0,0.0,705.0,0.0,0.2,0.2,361.76373,1.0,Dec,2,4,7,1,Returning_Visitor,False,False
0.0,3398.75,24.0,2549.375,0.0,0.0,0.2,0.0,361.76373,1.0,Aug,2,2,1,4,Returning_Visitor,True,True
27.0,0.0,24.0,2549.375,705.0,63973.523,0.2,0.2,361.76373,1.0,May,2,2,1,5,Returning_Visitor,False,False
0.0,3398.75,24.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,Feb,1,1,6,2,Returning_Visitor,False,False
0.0,0.0,0.0,2549.375,705.0,0.0,0.2,0.0,361.76373,0.0,Jul,2,2,3,3,Returning_Visitor,False,True
27.0,3398.75,0.0,2549.375,705.0,0.0,0.2,0.2,0.0,0.0,May,1,1,1,4,Returning_Visitor,True,False
27.0,0.0,0.0,2549.375,0.0,0.0,0.0,0.2,0.0,1.0,Aug,1,2,8,2,Returning_Visitor,True,True
0.0,0.0,2.0,2549.375,705.0,63973.523,0.0,0.0,361.76373,1.0,Dec,2,2,4,2,New_Visitor,False,False
0.0,3398.75,0.0,2549.375,0.0,63973.523,0.2,0.2,361.76373,0.0,Oct,2,2,1,2,New_Visitor,False,True
0.0,3398.75,0.0,0.0,0.0,63973.523,0.0,0.2,0.0,1.0,May,2,2,3,4,Returning_Visitor,False,False
27.0,0.0,24.0,2549.375,100.94039,0.0,0.2,0.2,0.0,0.0,Nov,1,1,1,1,Returning_Visitor,False,False
27.0,0.0,24.0,2549.375,705.0,0.0,0.2,0.2,0.0,0.0,Dec,4,5,5,10,Returning_Visitor,False,True
27.0,0.0,24.0,0.0,705.0,0.0,0.2,0.2,361.76373,0.0,Oct,2,2,4,2,Returning_Visitor,True,True
27.0,3398.75,24.0,2549.375,705.0,63973.523,0.0,0.2,361.76373,1.0,Mar,1,1,1,10,Returning_Visitor,False,False
27.0,0.0,0.0,0.0,0.0,63973.523,0.2,0.0,361.76373,1.0,Nov,2,2,2,1,Returning_Visitor,False,False
27.0,0.0,24.0,2549.375,0.0,0.0,0.0,0.2,0.0,1.0,Nov,3,2,1,13,Returning_Visitor,False,False
27.0,0.0,24.0,0.0,0.0,0.0,0.2,0.2,361.76373,0.0,Mar,3,2,6,1,Returning_Visitor,True,False
0.0,0.0,24.0,2549.375,0.0,63973.523,0.0,0.2,361.76373,1.0,Dec,2,2,4,13,Returning_Visitor,False,False
27.0,3398.75,24.0,0.0,0.0,63973.523,0.2,0.2,0.0,1.0,Mar,3,2,3,3,Returning_Visitor,False,False
0.0,0.0,0.0,2549.375,0.0,0.0,0.2,0.2,361.76373,1.0,May,4,1,4,1,Returning_Visitor,False,False
0.0,0.0,24.0,2549.375,0.0,63973.523,0.0,0.2,0.0,1.0,Nov,2,2,3,2,New_Visitor,False,True
0.0,3398.75,0.0,2549.375,705.0,63973.523,0.2,0.2,361.76373,0.0,Mar,3,2,7,3,Returning_Visitor,False,False
27.0,0.0,24.0,2549.375,705.0,63973.523,0.2,0.0,0.0,0.0,Dec,2,2,8,2,Returning_Visitor,False,False
27.0,0.0,24.0,0.0,705.0,0.0,0.0,0.2,361.76373,0.0,Oct,2,2,3,4,Returning_Visitor,False,False
0.0,0.0,0.0,2549.375,0.0,0.0,0.2,0.0,0.0,1.0,Nov,3,2,4,3,Returning_Visitor,False,False
27.0,3398.75,0.0,2549.375,0.0,63973.523,0.2,0.2,0.0,0.0,May,2,2,6,2,Returning_Visitor,False,False
0.0,3398.75,0.0,0.0,705.0,63973.523,0.2,0.0,0.0,1.0,May,2,6,2,3,Returning_Visitor,False,False
0.0,3398.75,24.0,0.0,705.0,63973.523,0.2,0.0,361.76373,1.0,June,2,2,4,3,Returning_Visitor,False,False
0.0,3398.75,0.0,0.0,705.0,63973.523,0.0,0.2,0.0,1.0,May,2,10,1,3,Returning_Visitor,False,False
27.0,3398.6692,0.0,2549.375,0.0,63973.523,0.0,0.0,0.0,1.0,May,2,2,2,2,Returning_Visitor,False,False
0.0,0.0,24.0,0.0,0.0,63973.523,0.2,0.0,361.76373,1.0,Dec,4,1,3,2,New_Visitor,False,False
0.0,3398.75,0.0,2549.375,705.0,63973.523,0.0,0.0,0.0,0.0,Nov,4,1,9,8,Returning_Visitor,True,True
27.0,3398.75,24.0,0.0,705.0,63973.523,0.2,0.0,361.76373,1.0,Dec,3,2,3,2,Returning_Visitor,False,False
0.0,3398.75,24.0,2549.375,0.0,0.0,0.2,0.0,361.76373,0.0,Mar,2,2,6,1,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.246754,1.0,Mar,3,2,3,1,Returning_Visitor,False,False
27.0,3398.75,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,Dec,2,5,3,1,Returning_Visitor,False,True
27.0,3398.75,0.0,0.0,0.0,0.0,0.0,0.2,361.76373,0.0,Dec,1,1,3,2,New_Visitor,False,True
4.0,0.0,0.0,0.0,705.0,20.44317,0.2,0.0,0.0,0.0,Feb,1,1,1,3,Returning_Visitor,False,False
27.0,3398.75,24.0,0.0,705.0,0.0,0.0,0.0,0.0,0.0,May,3,2,4,4,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,1.0,Nov,4,2,1,3,New_Visitor,True,False
27.0,0.0,0.0,0.0,0.0,63973.523,0.2,0.0,361.76373,0.0,May,2,2,1,4,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,705.0,63973.523,0.2,0.2,11.635643,1.0,Nov,2,2,3,2,Returning_Visitor,False,False
0.0,3398.75,24.0,242.40598,705.0,0.0,0.0,0.0,0.0,1.0,May,2,2,6,3,Returning_Visitor,False,False
27.0,3398.75,24.0,0.0,705.0,0.0,0.0,0.0,361.76373,1.0,May,2,2,1,1,Returning_Visitor,False,False
0.0,3398.75,0.0,2549.375,705.0,0.0,0.2,0.2,361.76373,1.0,May,2,5,8,4,Returning_Visitor,False,False
0.0,3398.75,0.0,2549.375,705.0,0.0,0.0,0.2,0.0,0.0,May,2,2,2,2,Returning_Visitor,False,False
0.0,3398.5688,24.0,0.0,705.0,0.0,0.0,0.0,0.0,0.0,Dec,2,2,2,6,Returning_Visitor,False,False
27.0,3398.75,24.0,2549.375,705.0,0.0,0.2,0.2,0.0,0.0,May,2,5,4,4,Returning_Visitor,False,False
0.0,0.0,0.0,2549.375,705.0,63973.523,0.2,0.0,361.76373,0.0,Mar,2,2,1,3,Returning_Visitor,False,False
27.0,3398.75,24.0,0.0,705.0,63973.523,0.0,0.0,0.0,0.0,Nov,3,1,1,2,Returning_Visitor,True,True
11.0,3398.75,0.0,2549.375,0.0,0.0,0.0,0.2,361.76373,1.0,May,3,2,1,3,Returning_Visitor,False,False
26.99962,3398.75,24.0,2549.375,705.0,0.0,0.0,0.025,361.76373,1.0,May,2,4,3,2,Returning_Visitor,False,False
27.0,3240.9548,24.0,2549.375,0.0,0.0,0.0,0.2,361.76373,0.0,Feb,1,1,1,3,Returning_Visitor,False,False
27.0,3398.75,24.0,2549.375,705.0,63973.523,0.0,0.2,0.0,0.0,Nov,3,2,2,1,Returning_Visitor,False,False
