Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
2.0,193.1014,0.0,0.0,20.0,1873.1342,0.007805358,0.004812882,0.0,0.0,May,3,2,8,2,New_Visitor,False,False
0.0,0.0,0.0,0.0,18.0,1313.8475,0.015487305,0.0390284,0.0,0.0,Jul,2,2,4,10,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,7.0,1717.8217,0.06666667,0.098495826,0.0,0.0,Nov,3,2,2,2,Returning_Visitor,False,False
1.0,37.13709,0.0,0.0,2.0,36.694954,0.07895298,0.06666667,0.0,0.0,May,2,2,7,8,Returning_Visitor,False,False
0.0,0.0,2.0,2496.1865,36.0,2877.6465,0.0025449374,0.023887144,0.0,0.0,Nov,1,1,1,10,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,3.0,131.00526,0.0,0.016666668,0.0,0.0,Jul,1,1,3,2,New_Visitor,False,False
0.0,0.0,0.0,0.0,46.0,1892.8435,0.0,0.0125066815,0.0,0.0,Nov,2,2,3,2,New_Visitor,False,False
0.0,0.0,0.0,0.0,3.0,81.464,0.042399902,0.095528245,0.0,0.0,May,2,2,1,5,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,8.0,986.1426,0.0,0.04,0.0,0.0,Dec,3,2,4,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,7.0,72.898834,0.059538923,0.1,0.0,0.0,Aug,1,1,1,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Mar,1,1,1,3,Returning_Visitor,False,False
3.0,36.116947,0.0,0.0,4.0,129.55022,0.0,0.028571429,0.0,0.0,Aug,2,10,7,3,New_Visitor,False,False
0.0,0.0,1.0,38.82288,1.0,0.0,0.2,0.2,0.0,0.0,Nov,2,6,1,2,Returning_Visitor,False,False
