Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
1.0,20.031149,0.0,0.0,26.406467,674.4921,0.0,0.0059371535,0.0,0.4,May,2,2,4,3,Returning_Visitor,False,False
0.0,0.0,2.0,65.70487,18.0,1517.3533,0.009517003,0.059981003,22.604248,0.6,May,2,4,4,4,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,20.0,363.5138,0.008348428,0.033681978,75.69917,0.0,Nov,1,5,1,1,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,12.0,241.97003,0.016666668,0.13333334,0.0,0.0,Feb,1,1,1,3,Returning_Visitor,True,False
8.0,189.7803,0.0,0.0,13.0,252.51982,0.0,0.015384615,0.0,0.0,May,2,7,3,2,Returning_Visitor,False,False
2.0,35.666576,0.0,0.0,26.0,1286.3596,0.0,0.007782772,97.32274,0.0,Sep,2,2,3,5,New_Visitor,False,True
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.4,May,4,1,4,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,3.0,269.47385,0.028838407,0.059938103,0.0,0.0,May,1,1,1,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,14.0,607.1755,0.0,0.008188352,0.0,0.0,Nov,3,2,6,5,New_Visitor,False,False
0.0,0.0,0.0,0.0,13.0,736.7352,0.022222223,0.053821415,0.0,0.8,May,1,1,1,3,Returning_Visitor,False,False
3.0,32.944016,0.0,0.0,18.0,690.0503,0.0,0.016242415,44.06749,0.0,May,2,2,3,2,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,6.0,544.6312,0.028571429,0.1,0.0,0.0,Mar,3,2,1,2,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,9.0,125.45773,0.06666667,0.1,0.0,0.0,Jul,3,2,3,3,Returning_Visitor,False,False
2.0,39.985565,0.0,0.0,3.0,1145.0726,0.0,0.05038459,0.0,0.0,May,2,2,8,4,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.2,0.0,0.6,May,2,2,1,13,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,10.0,241.14557,0.0,0.04,0.0,0.0,Aug,2,2,1,2,New_Visitor,False,False
0.0,0.0,0.0,0.0,6.0,59.274475,0.0,0.06666667,0.0,0.0,Nov,4,2,3,1,Returning_Visitor,False,False
2.0,47.67452,0.0,0.0,25.045708,1872.2715,0.014122272,0.039998975,0.0,0.0,Dec,3,2,3,2,Returning_Visitor,False,False
4.0,126.739105,0.0,0.0,12.0,341.42725,0.0,0.015798138,0.0,0.0,Jul,2,2,2,2,New_Visitor,False,False
1.0,26.79689,0.0,0.0,68.434265,2409.249,0.0050356174,0.012320457,0.0,0.0,May,2,2,1,2,Returning_Visitor,False,False
3.0,27.017485,0.0,0.0,24.0,628.3293,0.0,0.027159749,11.320702,0.6,May,2,2,3,3,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,26.0,720.7296,0.0,0.0093281,0.0,0.0,May,2,2,7,2,New_Visitor,False,False
0.0,0.0,0.0,0.0,22.0,592.15845,0.06666667,0.06666667,0.0,0.0,Dec,1,2,2,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,16.0,139.71762,0.021862114,0.057405975,0.0,0.0,Mar,2,4,1,1,Returning_Visitor,False,False
9.0,178.26299,0.0,0.0,96.64747,4257.035,0.005463096,0.018216314,4.7499666,0.0,Dec,3,2,1,2,Returning_Visitor,False,False
8.0,133.70523,1.0,168.516,22.0,361.6118,0.0,0.008810503,0.0,0.0,May,2,2,1,6,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,16.0,248.54076,0.0,0.03333333,0.0,0.0,June,2,2,3,1,Returning_Visitor,False,False
2.0,34.087936,0.0,0.0,15.0,357.36502,0.012786981,0.031109435,0.0,0.0,Mar,2,4,6,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,32.116795,1625.4685,0.0,0.007605547,10.482525,0.0,Mar,2,2,1,1,New_Visitor,True,True
0.0,0.0,0.0,0.0,8.0,113.40343,0.013333333,0.05,0.0,0.0,Mar,2,4,1,10,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,24.0,1071.4365,0.0,0.030532386,0.0,0.0,Nov,1,2,1,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,3.0,27.739502,0.1,0.15527532,0.0,0.0,Oct,1,1,3,4,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,11.355675,1084.3165,0.0,0.036230076,0.0,0.0,Dec,2,2,5,1,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,8.0,208.13109,0.0,0.009529697,0.0,0.0,May,3,2,3,4,New_Visitor,True,False
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Feb,1,1,1,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,14.0,1635.6315,0.0,0.023354221,0.0,0.0,Mar,4,2,3,8,Returning_Visitor,False,False
2.0,140.02695,0.0,0.0,43.02345,1007.685,0.018045727,0.044075307,3.8709784,0.0,May,2,4,3,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,62.43798,1551.7247,0.0051200115,0.009090909,0.0,0.0,Aug,1,1,1,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,May,3,2,6,2,Returning_Visitor,False,False
6.0,250.4238,0.0,0.0,10.0,1041.313,0.0,0.00789197,0.0,0.0,Mar,2,2,3,1,New_Visitor,False,False
0.0,0.0,0.0,0.0,14.0,345.19092,0.0,0.008699823,0.0,0.0,Nov,3,2,1,2,Returning_Visitor,False,False
6.0,131.49481,0.0,0.0,11.0,173.00555,0.0259684,0.037110496,0.0,0.0,May,1,1,4,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,23.0,319.3269,0.0,0.0032033795,0.0,0.6,May,2,2,3,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,45.0,873.08484,0.0,0.010084765,0.0,0.0,Dec,2,2,4,2,Returning_Visitor,False,False
