Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
2.0,157.10138,0.0,0.0,30.0,1123.7601,0.0,0.016666668,80.8318,0.0,Dec,2,2,5,2,Returning_Visitor,False,True
1.0,34.716072,1.0,65.117935,9.0,189.19498,0.0,0.007243253,0.0,0.0,Mar,1,1,6,10,Returning_Visitor,False,False
5.0,184.57494,2.0,40.903374,209.88956,9972.364,0.0062606274,0.019333776,1.3654405,0.0,June,2,2,4,13,Returning_Visitor,True,True
5.0,162.94968,2.0,146.96953,27.32166,666.8732,0.0,0.013333333,0.0,0.2,Feb,2,2,3,4,Returning_Visitor,False,False
1.0,62.96142,0.0,0.0,7.0,332.23914,0.028571429,0.08903471,0.0,0.0,May,2,2,1,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,20.0,832.07056,0.0,0.026175236,0.0,0.0,Nov,3,2,2,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,19.0,255.18983,0.0,0.025,12.670577,0.0,Sep,1,1,1,6,Returning_Visitor,True,True
8.0,177.06549,0.0,0.0,64.917015,2037.8383,0.0,0.010961602,0.0,0.0,Dec,2,2,7,2,Returning_Visitor,False,False
6.0,117.84386,2.0,0.0,109.874535,4124.068,0.0039548315,0.025,0.0,0.0,Nov,2,2,3,2,Returning_Visitor,False,False
6.0,77.82611,0.0,0.0,109.82223,4459.447,0.018290402,0.04567308,10.040155,0.8,May,2,2,1,13,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,6.0,52.624435,0.08698036,0.1,0.0,0.0,May,2,2,4,3,Returning_Visitor,False,False
4.0,358.8885,0.0,0.0,124.08725,7347.511,0.0,0.008831572,0.0,0.0,Aug,2,4,3,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,14.0,461.80188,0.018158093,0.033144563,0.0,0.0,Nov,2,6,2,1,Returning_Visitor,False,False
1.0,105.60255,0.0,0.0,10.0,273.2376,0.016666668,0.03333333,0.0,0.0,Oct,2,2,6,1,Returning_Visitor,False,False
5.0,45.69411,0.0,0.0,60.0,2855.3928,0.0023210782,0.01049914,16.451551,0.0,Dec,2,4,3,10,Returning_Visitor,False,False
11.143822,211.47757,0.0,0.0,44.0,806.0315,0.004635677,0.014780806,17.63035,0.0,Nov,4,1,2,3,Returning_Visitor,False,True
2.0,40.981373,0.0,0.0,44.66052,2577.1736,0.008556605,0.027747126,0.0,0.4,May,2,2,7,4,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,5.0,0.0,0.2,0.2,0.0,0.0,Jul,2,2,4,1,Returning_Visitor,False,False
5.0,62.449116,0.0,29.570137,50.578968,1852.5,0.0040269187,0.011520925,17.106539,0.0,May,2,2,7,6,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,4.0,46.14686,0.0,0.057615027,0.0,0.0,June,2,2,1,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,17.0,409.68588,0.0,0.023487141,10.051195,0.0,June,2,2,4,13,Returning_Visitor,False,False
1.0,4.5384045,0.0,0.0,54.747265,1697.1107,0.009384133,0.028571429,0.0,0.0,Mar,2,2,1,3,Returning_Visitor,False,True
5.0,34.960438,1.0,22.907393,23.0,1189.1472,0.0,0.025,0.0,0.0,Dec,2,2,1,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,15.0,227.87758,0.009090909,0.032146093,0.0,0.0,May,2,5,3,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,7.0,73.782394,0.0,0.06783218,0.0,0.0,Dec,1,2,3,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.03474821,0.0,0.0,May,2,2,2,3,Returning_Visitor,True,False
2.0,4.1017613,0.0,6.2714334,37.662853,587.1656,0.0059563112,0.022222223,0.0,0.0,May,2,2,1,4,Returning_Visitor,False,False
7.0,242.6646,0.0,0.0,11.0,493.38028,0.031183062,0.072756365,0.0,0.0,Nov,2,2,3,8,Returning_Visitor,True,True
0.0,0.0,0.0,0.0,52.18937,2225.8398,0.0,0.0023972108,28.17425,0.0,Nov,1,1,2,3,Returning_Visitor,False,True
4.0,88.52788,0.0,0.0,1.0,0.0,0.03333333,0.05,0.0,0.0,Jul,1,2,3,2,New_Visitor,False,False
0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0,0.0,May,2,2,5,4,Returning_Visitor,True,False
9.145449,141.7518,2.0,218.64343,11.0,227.20987,0.0,0.015915217,0.0,0.0,Mar,3,2,3,2,New_Visitor,True,True
6.0,267.6258,0.0,0.0,110.20469,2126.8826,0.0032179563,0.010523236,1.5671405,0.0,Nov,1,1,3,2,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,8.0,218.8851,0.0,0.025026571,0.0,0.2,May,2,2,6,1,Returning_Visitor,False,False
11.462773,172.24438,0.0,0.0,88.42103,2666.7524,0.005604875,0.01481347,11.911222,0.0,May,3,2,1,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,13.0,402.49014,0.0,0.022558222,80.679924,0.0,Mar,2,2,9,8,Returning_Visitor,False,True
10.0,179.57689,6.843758,115.09067,51.329243,2254.1404,0.0059138765,0.018234761,0.0,0.0,Nov,3,2,1,13,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,13.163777,186.19974,0.033181444,0.03393696,0.0,0.0,Jul,3,2,7,11,Returning_Visitor,True,False
3.0,52.027435,0.0,0.0,52.743904,1069.685,0.007110394,0.0125,0.0,0.0,Dec,1,1,3,2,Returning_Visitor,False,False
11.0,803.3524,0.0,0.0,23.0,771.29,0.0061669666,0.025551891,0.0,0.0,May,4,1,5,1,Returning_Visitor,False,False
11.0,91.13525,0.0,0.0,93.70766,3538.9175,0.008377231,0.022222223,9.84639,0.0,Nov,2,2,6,10,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,92.72281,1633.2362,0.0059252363,0.022406485,0.0,0.6,May,2,4,3,4,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,13.0,238.73106,0.037610114,0.06863289,0.0,0.0,Nov,3,2,1,3,Returning_Visitor,True,False
12.0,278.8725,0.0,0.0,39.0,1440.2407,0.0,0.005206425,31.244295,0.0,May,2,2,3,2,New_Visitor,False,True
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,June,1,1,3,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,13.0,318.98453,0.0,0.011855974,18.26401,0.0,Dec,2,2,1,2,Returning_Visitor,True,True
2.0,69.23971,0.0,0.0,8.0,237.43497,0.0,0.011111111,0.0,0.0,Mar,2,2,4,13,Returning_Visitor,True,False
5.0,47.49758,6.0,245.39447,81.5681,4352.0273,0.0041246894,0.008719446,12.363849,0.0,Mar,3,2,1,1,Returning_Visitor,False,True
0.0,0.0,1.0,99.89516,11.0,296.47107,0.0,0.008798802,0.0,0.0,Nov,1,1,4,8,New_Visitor,False,True
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Aug,3,2,1,13,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Aug,2,13,9,20,Other,False,False
1.0,75.86919,0.0,0.0,22.0,586.1718,0.0,0.0057763127,0.0,0.0,Dec,3,2,1,1,New_Visitor,True,False
0.0,0.0,3.0,152.99849,7.0,274.1479,0.0,0.027248926,0.0,0.0,Mar,1,1,1,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,13.0,423.949,0.0,0.013333333,0.0,0.0,Nov,2,5,1,8,New_Visitor,True,False
9.0,120.77312,1.0,182.19699,35.08489,1300.245,0.004949322,0.016666668,0.0,0.0,Aug,1,1,3,5,Returning_Visitor,False,False
4.0,69.63912,3.0,6.2076025,17.723175,863.2985,0.010404359,0.01588803,13.805597,0.0,June,3,2,1,2,Returning_Visitor,False,False
2.0,33.99785,0.0,0.0,7.0,133.86263,0.025,0.04,0.0,0.0,May,1,2,2,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,6.0,53.677185,0.122852646,0.2,0.0,0.0,May,2,2,3,3,Returning_Visitor,False,False
6.0,48.226498,2.0,19.785875,17.0,601.18823,0.0,0.022222223,0.0,0.0,Mar,2,2,7,2,Returning_Visitor,False,False
5.0,50.44241,3.0,57.960835,87.15686,2501.2976,0.011984301,0.028571429,0.0,0.0,Dec,1,1,1,1,Returning_Visitor,False,False
