Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
6.0,149.47467,2.0,58.88476,29.0,524.63806,0.0,0.0035862569,0.0,0.0,Oct,1,1,1,4,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,10.0,144.26672,0.0,0.018636081,0.0,0.0,May,2,2,7,14,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,9.0,422.634,0.0,0.06463087,0.0,0.0,Mar,2,4,1,3,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,10.0,56.66442,0.04,0.06666667,0.0,0.4,May,1,1,1,3,Returning_Visitor,False,False
7.0,105.99301,1.0,19.724688,33.0,930.8865,0.0,0.004361269,52.615265,0.0,Mar,2,4,1,2,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,23.0,2446.7673,0.013656041,0.025,0.0,0.0,Nov,1,1,1,10,Returning_Visitor,True,False
4.0,191.32928,0.0,0.0,83.65749,5005.6147,0.0008370862,0.016181694,6.482052,0.0,Dec,2,2,1,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,3.0,145.26617,0.0,0.06666667,0.0,0.0,May,2,2,7,14,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,1.0,31.541763,0.0,0.109271735,0.0,0.0,Mar,1,1,1,10,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,6.0,197.56165,0.043957226,0.08107931,0.0,0.0,Nov,2,2,6,1,Returning_Visitor,False,False
4.0,157.79668,0.0,0.0,52.603264,949.4852,0.011111111,0.021011664,0.0,0.0,Nov,1,1,9,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,66.19632,1306.329,0.0062562763,0.017734813,0.0,0.0,Mar,2,5,1,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,20.0,276.61035,0.01807659,0.027134817,0.0,0.0,Mar,2,2,1,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,9.0,343.84058,0.0,0.022519846,0.0,0.0,Mar,3,2,1,2,Returning_Visitor,False,False
5.0,252.58945,0.0,0.0,28.0,2152.6567,0.004582226,0.024272721,13.386812,0.0,May,1,1,1,4,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0,0.0,Nov,1,1,1,3,Returning_Visitor,False,False
2.0,112.20965,0.0,0.0,9.0,207.18617,0.0,0.014601384,0.0,0.0,Mar,2,2,2,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,8.0,130.20543,0.0,0.016505783,0.0,0.0,Mar,2,2,1,1,Returning_Visitor,False,False
3.0,105.19792,0.0,0.0,8.0,574.52515,0.0,0.0022863992,0.0,0.0,May,2,2,4,5,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Mar,2,2,4,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,4.0,48.115063,0.0,0.031318992,0.0,0.0,Mar,2,2,1,10,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,10.0,151.95872,0.025927436,0.05023845,0.0,0.0,May,2,4,1,2,Returning_Visitor,False,False
5.0,135.24136,0.0,0.0,22.0,2074.2893,0.0,0.03333333,134.65697,0.0,Dec,2,5,1,2,New_Visitor,False,False
2.0,49.656284,0.0,0.0,45.0,849.5895,0.026623972,0.028856248,0.0,0.0,Aug,2,2,1,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,5.506256,183.80086,0.0,0.030656908,0.0,0.0,May,2,4,9,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,5.83223,74.3416,0.0,0.022220168,0.0,0.0,Mar,1,1,1,3,Returning_Visitor,True,False
1.0,18.04172,0.0,0.0,7.0,101.06294,0.043896563,0.10920143,0.0,0.0,Dec,1,1,2,1,Returning_Visitor,True,False
13.803662,297.8376,0.0,0.0,118.85069,3518.7656,0.007408334,0.018563079,0.0,0.0,Dec,3,2,4,1,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Nov,3,2,3,13,Returning_Visitor,False,False
27.0,3398.75,24.0,0.0,705.0,63973.523,0.0,0.0,361.76373,1.0,May,2,7,3,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,15.0,570.2506,0.0,0.016334897,0.0,0.0,Mar,2,2,4,1,Returning_Visitor,True,False
3.0,64.674644,0.0,0.0,36.662113,1031.6349,0.0,0.008333333,37.50861,0.0,Mar,2,4,6,10,New_Visitor,True,True
0.0,0.0,0.0,0.0,11.0,163.74477,0.0,0.011676196,0.0,0.0,May,3,2,1,13,Returning_Visitor,False,False
0.0,0.0,1.0,9.10823,18.0,286.04782,0.013173921,0.033566833,0.0,0.0,June,2,2,4,1,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,8.0,265.439,0.016107567,0.026723286,0.0,0.0,Dec,3,2,3,10,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,17.0,671.51385,0.0,0.017622834,0.0,0.0,Nov,2,2,2,6,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,25.0,398.97565,0.0,0.0062501132,0.0,0.0,Mar,2,2,2,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,8.0,320.06207,0.028571429,0.07496555,0.0,0.0,Dec,3,2,3,1,Returning_Visitor,False,False
0.0,0.0,2.0,48.633045,17.0,136.99796,0.03532629,0.07147861,0.0,0.0,May,3,2,1,3,Returning_Visitor,True,False
8.0,299.32947,0.0,0.0,17.0,482.97818,0.0,0.04158077,0.0,0.0,Mar,2,5,1,3,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,18.0,1376.584,0.06666667,0.15229242,0.0,0.0,Dec,2,5,3,3,Returning_Visitor,False,False
0.0,0.0,1.0,60.96128,149.41222,2028.9244,0.0051215254,0.014292921,0.0,0.0,Nov,2,2,4,2,Returning_Visitor,False,True
5.0,70.08173,0.0,0.0,6.0,319.73367,0.0,0.016666668,0.0,0.0,Dec,2,5,7,2,New_Visitor,False,False
3.0,54.313435,0.0,0.0,23.515312,444.2987,0.0,0.0023950066,0.0,0.0,Nov,2,2,1,2,New_Visitor,False,False
0.0,0.0,0.0,0.0,5.0,115.78673,0.0,0.025331507,0.0,0.0,Dec,3,2,1,2,New_Visitor,False,False
3.0,29.630383,0.0,0.0,1.0,0.0,0.0,0.03333333,0.0,1.0,May,2,2,6,5,New_Visitor,True,False
8.0,186.60103,5.0,164.67407,171.67186,5773.839,0.017843978,0.042894695,0.0,0.0,Nov,1,1,1,1,Returning_Visitor,False,False
4.0,133.18254,3.0,58.339813,18.0,318.57214,0.016666668,0.036405142,0.0,0.0,Nov,1,2,4,2,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,8.0,545.01825,0.022788193,0.04029154,41.07604,0.0,Mar,2,5,3,1,Returning_Visitor,False,True
3.9932504,118.810684,0.0,0.0,16.964865,1588.3114,0.014285714,0.02646822,24.990618,0.0,May,1,1,1,4,Returning_Visitor,False,False
13.577128,103.81467,3.0,107.566795,53.295868,2415.2424,0.009372115,0.03074844,0.0,0.0,May,1,1,1,2,Returning_Visitor,True,False
0.0,0.0,5.0,288.29202,31.0,1440.7158,0.0062946826,0.018735224,22.860666,0.8,May,1,1,7,2,Returning_Visitor,False,True
4.0,124.49756,0.0,0.0,20.0,762.7384,0.0,0.01893857,46.34366,0.0,May,2,2,2,1,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,3.0,141.40906,0.0,0.023907602,0.0,0.0,Dec,1,1,7,3,Returning_Visitor,False,False
1.012956,15.438687,0.0,0.0,28.0,678.5887,0.0,0.0013529665,0.0,0.0,Mar,2,4,4,1,Returning_Visitor,False,False
0.0,0.0,2.0,61.650215,13.21459,431.60828,0.014737848,0.05539654,0.0,0.0,Dec,1,1,4,3,Returning_Visitor,False,False
1.0,0.0,0.0,0.0,8.0,790.8863,0.0,0.03333333,0.0,0.0,Nov,2,2,1,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,18.881865,241.98604,0.0,0.042852998,0.0,0.6,May,1,1,4,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,13.0,268.9704,0.0,0.008333333,0.0,0.0,May,2,2,2,4,Returning_Visitor,True,False
7.0,187.02988,0.0,0.0,53.14312,1687.2776,0.0,0.014251558,29.605495,0.6,May,2,2,1,4,Returning_Visitor,False,False
5.0,59.10929,0.0,0.0,47.0,1087.2908,0.0,0.009443268,8.727545,0.0,Nov,2,2,9,8,New_Visitor,True,True
1.0,60.674374,0.0,0.0,36.0,1619.6263,0.0,0.0074678916,77.850914,0.0,Nov,1,1,1,8,New_Visitor,True,True
1.0,19.783543,0.0,0.0,15.0,336.82373,0.0,0.022319114,0.0,0.0,May,2,2,1,3,Returning_Visitor,False,False
11.0,112.90299,4.9781966,137.7577,90.14514,1887.6523,0.00087329384,0.0063737296,23.968431,0.0,Mar,2,2,1,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,4.0,169.45604,0.0,0.070854165,0.0,0.0,Dec,2,2,4,2,Returning_Visitor,False,False
27.0,3398.75,0.0,0.0,705.0,63973.523,0.0,0.0,361.76373,1.0,Nov,2,7,1,10,Returning_Visitor,False,False
0.0,0.0,3.0,84.2702,26.854427,2121.3005,0.010958203,0.030882418,0.0,0.0,Mar,2,2,3,1,Returning_Visitor,False,False
6.0,83.925705,0.0,0.0,19.0,783.85754,0.0,0.00813069,0.0,0.0,Nov,1,1,3,2,New_Visitor,False,True
3.0,16.298466,0.0,0.0,10.850707,349.7118,0.0,0.01642023,0.0,0.0,Mar,2,2,4,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,10.0,256.50525,0.04226751,0.15434346,0.0,0.6,May,2,2,1,4,Returning_Visitor,False,False
2.0,30.057825,0.0,0.0,10.0,87.79631,0.028003782,0.031321503,0.0,0.0,Nov,1,1,1,2,New_Visitor,False,False
0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,Nov,2,2,7,1,Returning_Visitor,False,False
1.0,8.340953,0.0,0.0,52.6133,996.1574,0.006111046,0.028950574,0.0,0.2,May,2,2,1,13,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,17.0,1551.2186,0.0,0.009788319,0.0,0.0,Dec,1,1,7,2,New_Visitor,True,False
3.0,130.80154,0.0,0.0,11.0,296.88748,0.0,0.025,0.0,0.0,May,2,2,1,5,New_Visitor,False,False
0.0,0.0,1.0,32.483685,22.0,1333.7131,0.0,0.0050274036,0.0,0.0,Dec,1,1,3,2,Returning_Visitor,False,False
11.0,114.62046,4.0,193.06699,112.131935,4775.253,0.005379664,0.02,17.031082,0.0,May,2,2,7,1,Returning_Visitor,True,False
0.0,0.0,24.0,2549.375,0.0,0.0,0.2,0.2,0.0,1.0,May,1,1,7,3,Returning_Visitor,False,False
1.0,15.51687,0.0,0.0,13.0,993.1066,0.0,0.028724626,0.0,0.0,Mar,3,2,4,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.0,0.0,Mar,2,2,1,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,Nov,4,4,1,20,Returning_Visitor,False,False
6.0,88.31607,0.0,0.0,64.11758,2555.3481,0.0,0.009377857,0.77943194,0.0,May,2,2,6,4,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,6.0,399.68808,0.0,0.03791929,0.0,0.0,May,3,2,2,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,10.693939,139.10718,0.031758584,0.1,0.0,0.0,Nov,1,1,8,10,Returning_Visitor,False,False
0.0,0.0,1.0,202.57553,9.0,1197.0579,0.0,0.011657942,0.0,0.0,Aug,1,8,1,11,Returning_Visitor,True,False
6.0,190.59853,0.1449659,59.773376,34.0,830.66656,0.0,0.0,58.84513,0.0,Nov,2,2,7,1,Returning_Visitor,False,True
2.2153661,23.750656,3.0,25.440252,3.0,106.76818,0.0,0.03333333,0.0,0.0,Sep,2,2,2,2,New_Visitor,False,False
5.0,354.9897,0.0,0.0,37.0,739.7784,0.012762343,0.04824023,0.0,0.4,May,2,2,1,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,13.0,218.52501,0.08925565,0.2,0.0,0.0,Aug,3,2,1,3,Returning_Visitor,False,False
8.0,303.09808,0.0,0.0,38.169865,791.2588,0.0,0.0062692584,0.0,0.0,Nov,2,2,2,8,New_Visitor,False,False
0.0,0.0,0.0,0.0,17.0,182.1146,0.012762251,0.03333333,0.0,0.0,May,2,2,1,4,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,5.0,154.06555,0.0,0.0,0.0,0.0,Aug,1,1,1,2,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,31.0,1213.9911,0.011434438,0.05,0.0,0.0,Nov,4,8,1,6,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,6.0,66.68514,0.03333333,0.07255921,0.0,0.0,Dec,2,2,7,3,Returning_Visitor,False,False
2.0,26.553057,3.2027395,49.164333,43.0,1517.2045,0.0073484606,0.02,8.6831255,0.0,Mar,2,2,3,3,Returning_Visitor,False,False
10.0,179.72862,4.0,601.1223,46.0,2682.5886,0.0,0.012439924,0.0,0.0,May,2,2,1,2,Returning_Visitor,True,False
9.0,449.3391,2.0,145.09985,37.0,1355.5443,0.0,0.03333333,0.0,0.0,Mar,2,2,1,1,Returning_Visitor,False,False
2.0,64.553055,0.0,0.0,22.0,1328.6593,0.0,0.006263671,12.201154,0.0,Dec,2,2,2,2,Returning_Visitor,False,True
2.0,140.03947,1.0,32.2694,128.22778,3113.4004,0.006356828,0.03333333,0.0,0.0,Nov,2,2,1,2,Returning_Visitor,False,False
4.0,80.05167,0.0,0.0,28.0,1718.9637,0.0071488437,0.015177303,31.895529,0.0,Nov,3,2,1,2,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,14.101578,399.74734,0.013246299,0.06666667,0.0,0.4,May,4,1,1,4,Returning_Visitor,False,False
13.759871,62.502705,0.0,0.0,8.0,95.44544,0.0125,0.005676164,0.0,0.0,Dec,3,2,4,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,16.0,330.88535,0.05,0.05988109,0.0,0.0,May,2,2,1,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,64.08112,4486.5635,0.013673508,0.032396704,0.0,0.0,Nov,1,1,1,10,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,5.1314445,325.47592,0.0,0.028083924,0.0,0.0,Nov,2,4,7,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,12.0,248.32082,0.0,0.025714168,0.0,0.0,June,2,2,9,13,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,14.0,324.09818,0.0,0.014285714,0.0,0.0,Dec,2,4,1,1,Returning_Visitor,False,False
3.0,112.15136,2.0,61.805035,45.0,902.9059,0.05,0.044444446,10.680186,0.0,Oct,3,2,4,13,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,15.0,357.675,0.0171863,0.051941082,0.0,0.0,Dec,2,2,7,1,Returning_Visitor,False,False
5.0,158.82846,0.0,0.0,70.02697,2754.9575,0.0,0.030717803,0.0,0.0,Nov,2,5,3,1,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,7.7089972,444.83932,0.022079019,0.06666667,0.0,0.0,Mar,2,2,1,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,6.0,131.3716,0.057733636,0.09347283,0.0,0.0,May,3,2,1,13,Returning_Visitor,False,False
4.0,282.23105,0.0,0.0,11.0,930.51544,0.0,0.019555185,18.186998,0.0,Oct,2,2,2,2,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,20.0,988.6377,0.029867122,0.0825995,0.0,0.0,Mar,2,4,1,1,Returning_Visitor,False,False
2.0,220.1569,1.0,6.9374743,45.64629,1603.519,0.013333333,0.02401132,0.0,0.0,Sep,3,2,1,13,Returning_Visitor,True,False
2.0,52.7147,0.0,0.0,39.0,5830.916,0.0,0.020773124,5.1356125,0.0,Aug,2,5,1,1,Returning_Visitor,False,False
3.0,43.1771,0.0,0.0,5.0,108.280495,0.0,0.010915305,0.0,0.0,Dec,2,2,1,2,Returning_Visitor,True,False
1.0,30.328453,0.0,0.0,40.0,678.0798,0.0,0.0031294413,0.0,0.0,May,1,1,1,2,Returning_Visitor,False,False
2.0,71.32421,0.0,0.0,6.0,449.8571,0.0,0.019099537,0.0,0.0,May,1,1,3,5,New_Visitor,False,False
2.0,63.102203,0.0,0.0,25.0,1280.379,0.0,0.015766852,35.65258,0.0,Dec,1,1,3,8,New_Visitor,False,True
4.0,50.82043,0.0,0.0,24.0,1608.4567,0.022222223,0.05577235,0.0,0.0,May,2,4,3,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,14.0,1074.1924,0.0,0.016666668,0.0,0.0,Mar,2,2,1,1,Returning_Visitor,False,False
