Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0.0,0.0,0.0,0.0,3.0,125.6642,0.0,0.044444446,0.0,0.0,Nov,3,2,7,2,New_Visitor,False,False
0.0,0.0,0.0,0.0,11.0,180.25597,0.05,0.1527137,0.0,0.0,Nov,1,1,4,3,Returning_Visitor,False,False
8.0,533.7286,1.0,0.0,129.02368,2544.1304,0.014796979,0.019638605,0.0,0.0,Nov,1,1,1,1,Returning_Visitor,False,False
1.0,0.0,0.0,0.0,34.0,2847.0781,0.009090909,0.025106568,0.0,0.0,Dec,2,2,6,2,Returning_Visitor,False,False
25.370892,2952.338,0.0,0.0,27.0,1516.4607,0.0071738265,0.009941766,46.660446,0.0,Mar,3,2,7,2,Returning_Visitor,False,True
4.0,166.3818,2.0,136.99922,63.28926,5682.0967,0.014285714,0.02103007,0.0,0.0,Mar,3,2,8,1,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,24.0,1519.3097,0.01853772,0.06630993,0.0,0.0,Dec,4,1,2,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,14.0,492.73938,0.0,0.030183984,0.0,0.0,Dec,2,2,7,20,Returning_Visitor,False,False
1.0,13.918964,0.0,0.0,50.0,3186.7256,0.028571429,0.05,0.0,0.0,Dec,2,2,1,1,Returning_Visitor,False,False
5.636122,448.92664,0.0,0.0,40.0,1289.2529,0.018560814,0.039410923,0.0,0.0,Oct,3,2,1,13,Returning_Visitor,False,False
1.0,177.54483,0.0,0.0,42.0,2141.5237,0.0,0.009532662,0.0,0.0,Dec,2,2,1,1,Returning_Visitor,False,False
9.0,163.81555,0.0,0.0,58.730274,1390.5427,0.010005532,0.030321622,10.09554,0.0,Jul,2,2,2,3,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,16.0,587.9415,0.0,0.028683286,0.0,0.0,Nov,2,2,2,2,New_Visitor,True,False
0.0,0.0,5.0,0.0,12.0,165.00687,0.0,0.015425716,0.0,0.0,Mar,4,1,1,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,13.0,1700.87,0.04,0.05,0.0,0.0,Nov,3,2,1,3,Returning_Visitor,True,False
3.0,66.135544,0.0,0.0,31.975286,899.98065,0.04,0.03802976,0.0,0.0,Jul,3,2,5,1,Returning_Visitor,False,True
2.0,47.32326,3.0,237.59032,15.562651,834.08856,0.0,0.0375713,0.0,0.0,May,2,2,9,2,Returning_Visitor,False,False
8.0,90.29932,0.0,0.0,19.0,301.30313,0.042181898,0.06352629,0.0,0.647482,May,3,2,1,13,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,5.0,102.86126,0.06666667,0.12049465,0.0,0.0,Dec,3,2,1,1,Returning_Visitor,True,False
0.0,0.0,1.0,83.97061,32.0,2128.1511,0.007393029,0.021028819,24.909428,0.0,Nov,2,2,1,2,Returning_Visitor,False,False
2.0,41.440483,0.0,0.0,27.0,1819.0818,0.007406438,0.010638877,0.0,0.0,Dec,2,2,4,1,Returning_Visitor,False,False
6.0,143.11662,0.0,0.0,43.30058,2584.677,0.0,0.0125,54.92537,0.0,Nov,2,2,3,1,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,23.0,546.7804,0.046807278,0.12451209,0.0,0.8,May,2,5,3,2,Returning_Visitor,False,False
10.956199,422.9043,3.0,134.25407,54.50505,1680.9202,0.006666667,0.0457828,32.106388,0.0,Jul,2,4,1,3,Returning_Visitor,False,False
16.937382,421.03888,2.0,52.91595,36.381874,1278.5769,0.0,0.011106064,58.941593,0.0,Mar,2,2,4,2,New_Visitor,False,True
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,May,3,2,3,3,Returning_Visitor,False,False
6.2238007,133.04277,1.0,174.66617,19.0,1673.5605,0.015384615,0.042328965,74.62526,0.0,May,1,8,2,6,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,4.540361,241.35597,0.025,0.09888624,0.0,0.0,Nov,1,8,3,11,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,11.0,354.2647,0.0,0.025,0.0,0.0,May,2,2,9,2,Returning_Visitor,True,False
26.93077,980.5632,24.0,2549.375,678.9394,63973.523,0.0,0.019657746,0.0,0.0,Dec,2,2,1,2,Returning_Visitor,False,False
0.0,0.0,3.0,143.83377,68.64292,4061.0022,0.010575078,0.042912297,0.0,0.0,Nov,2,2,1,2,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,13.0,344.62222,0.05,0.1,0.0,0.6,May,3,2,2,13,Returning_Visitor,False,False
0.0,0.0,1.0,0.0,50.0,1347.2421,0.0082012275,0.025424669,0.0,0.0,Nov,3,2,1,13,Returning_Visitor,True,False
0.0,0.0,2.0,49.776447,4.0,374.2538,0.0,0.05989916,0.0,0.0,May,3,2,4,3,Returning_Visitor,False,False
4.0,68.413925,0.0,0.0,41.257423,1112.5671,0.03320602,0.03804739,0.0,0.0,May,3,2,2,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,37.0,2239.1145,0.0,0.004577996,237.27475,0.0,Nov,2,2,3,2,New_Visitor,True,True
2.0,3116.6077,0.0,0.0,39.0,1656.6191,0.01992459,0.06337082,0.0,0.0,Nov,2,2,3,1,Returning_Visitor,False,False
6.0,499.47696,0.0,0.0,54.65173,1619.9995,0.0,0.014270478,0.0,0.0,May,2,2,1,4,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,10.0,565.96075,0.0,0.06303667,0.0,0.0,Dec,2,2,3,1,Returning_Visitor,False,False
3.0,64.109726,0.0,0.0,34.0,1108.0591,0.0,0.009921267,19.457731,0.0,Mar,2,2,3,1,Returning_Visitor,False,True
0.0,0.0,2.0,68.4643,14.162709,635.93,0.0,0.013163431,0.0,0.0,Dec,1,1,1,10,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,7.0,221.05132,0.0,0.04,0.0,0.0,Mar,2,2,4,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,May,2,2,3,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,5.0,81.02694,0.0,0.07425455,0.0,0.0,Dec,2,4,1,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,48.043133,2623.3735,0.0,0.018196126,0.0,0.0,Dec,2,2,1,2,New_Visitor,False,False
0.0,0.0,0.0,0.0,8.0,295.49527,0.09161097,0.062255584,0.0,0.0,Nov,1,1,1,2,Returning_Visitor,False,False
1.0,0.8947737,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,May,1,1,3,2,Returning_Visitor,True,False
4.0,67.63591,0.0,0.0,4.0,42.07198,0.0,0.03557014,0.0,0.0,Dec,2,4,1,2,Returning_Visitor,False,False
4.0452485,3308.0605,0.0,0.0,174.63684,8473.115,0.006666667,0.02,36.15446,0.0,Nov,2,2,3,1,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,9.0,573.16925,0.0,0.03501389,0.0,0.8,May,1,1,2,3,Returning_Visitor,False,False
1.0,51.405968,0.0,0.0,2.0,28.914362,0.0,0.05128345,0.0,1.0,May,3,2,3,2,Returning_Visitor,True,False
23.001877,2914.5173,3.0,182.93272,108.808395,4545.5986,0.014282757,0.014299355,12.515006,0.0,Nov,1,1,1,10,Returning_Visitor,False,False
6.0,28.629328,0.0,0.0,53.775787,753.1385,0.03949641,0.06914692,0.0,1.0,May,1,1,3,3,Returning_Visitor,True,False
9.0,218.60481,0.0,0.0,56.0,1949.592,0.005904874,0.004038348,0.0,0.0,May,3,2,3,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,May,2,4,7,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,5.0,363.09818,0.05376339,0.2,0.0,0.0,Jul,2,2,3,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,15.0,577.79065,0.0,0.007487874,0.0,0.0,May,2,2,1,4,Returning_Visitor,False,False
0.0,43.527184,0.0,0.0,22.0,636.7802,0.2,0.06666667,0.0,0.0,Oct,3,2,1,13,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,68.707794,3091.4795,0.0,0.016666668,0.0,0.0,Nov,2,2,1,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,8.0,237.32335,0.05,0.057346456,17.147074,0.0,Mar,1,1,7,3,Returning_Visitor,False,True
1.0,0.0,0.0,0.0,21.0,660.355,0.0,0.020974426,0.0,0.0,Oct,1,1,1,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,May,2,4,1,1,Returning_Visitor,False,False
0.0,0.0,2.0,62.266964,113.77582,4458.064,0.020374116,0.029926658,0.0,0.0,Jul,2,2,1,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,24.0,746.8544,0.0,0.00960358,0.0,0.0,Mar,1,1,4,2,Returning_Visitor,False,False
2.0,72.16222,0.0,0.0,67.28713,4201.4087,0.010714771,0.037496176,13.492821,0.0,June,2,2,2,1,Returning_Visitor,False,True
4.0,66.248085,3.0,250.76465,34.0,1443.4788,0.022222223,0.024839679,0.0,0.0,May,3,2,1,4,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,3.0,34.60439,0.0,0.05,0.0,0.0,Feb,3,2,3,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,46.0,1564.1342,0.026288232,0.04348857,0.0,0.0,June,2,2,1,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,14.0,236.91135,0.0,0.022222223,0.0,0.0,May,2,2,1,3,Returning_Visitor,False,False
5.0,75.095276,0.0,0.0,8.0,226.3397,0.0,0.010369302,0.0,0.0,Jul,1,1,1,5,New_Visitor,False,False
0.0,0.0,0.0,0.0,57.71824,1318.5491,0.0,0.0089342,0.0,0.0,Nov,2,2,9,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,12.0,1419.288,0.022222223,0.08248944,0.0,0.0,Nov,4,1,1,1,Returning_Visitor,False,False
10.031153,51.157223,4.0033097,324.66263,105.402954,3595.2957,0.022324394,0.06401483,0.0,1.0,May,2,2,2,2,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,51.550335,2899.714,0.0011251684,0.028571429,0.0,0.0,Nov,2,2,1,1,Returning_Visitor,True,False
0.0,3398.75,0.0,1454.9327,0.0,63973.523,0.0,0.2,9.4075365,0.0,Mar,2,2,3,2,Returning_Visitor,False,False
27.0,3398.75,24.0,0.0,705.0,63973.523,0.0,0.0,361.76373,1.0,May,2,7,3,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,19.0,502.12686,0.022087498,0.05,0.0,0.4,May,1,1,3,3,Returning_Visitor,False,False
3.0,79.14864,0.0,0.0,48.0,935.68933,0.0,0.012120144,24.595467,0.0,Nov,2,2,3,4,Returning_Visitor,True,True
0.0,0.0,0.0,0.0,4.0,119.09391,0.0,0.057330966,0.0,0.0,Mar,2,2,1,1,Returning_Visitor,False,False
5.0,92.957726,0.0,0.0,26.0,645.83325,0.061028216,0.06226123,0.0,0.6,May,3,2,3,4,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,35.0,1088.9156,0.0,0.022222223,0.0,0.0,Mar,2,2,1,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,24.0,622.0204,0.030556874,0.057425637,0.0,0.0,Nov,2,2,3,3,Returning_Visitor,False,False
3.0,19.017178,0.0,0.0,26.0,991.70355,0.014727136,0.039375592,0.0,0.6840906,May,3,2,4,3,Returning_Visitor,False,False
4.0,81.49016,2.0,113.21221,104.457985,2629.406,0.0,0.0041906727,0.0,0.0,Dec,2,2,3,2,New_Visitor,False,False
15.147201,273.05908,0.0,0.0,366.51132,4985.924,0.0,0.0026092054,0.0,0.0,May,4,2,1,6,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,8.0,253.68715,0.05,0.15705161,0.0,0.0,Dec,1,1,1,1,Returning_Visitor,False,False
2.2348685,56.72102,0.0,0.0,10.0,390.8227,0.0,0.013810952,35.753105,0.0,Mar,3,2,1,2,New_Visitor,False,True
10.0,625.80096,0.0,0.0,22.268078,449.00427,0.0,0.0148470225,0.0,0.0,Dec,1,1,1,2,Returning_Visitor,False,False
5.0,175.41525,3.0,116.5423,29.0,1149.0854,0.0,0.015414976,49.326424,0.0,Dec,1,2,1,1,Returning_Visitor,True,True
0.0,0.0,0.0,0.0,15.0,630.3154,0.10175124,0.1,0.0,0.0,Nov,2,2,7,3,Returning_Visitor,False,False
4.0,112.72932,0.0,0.0,89.15907,3802.1345,0.0031559323,0.018343735,0.0,0.0,Oct,2,2,9,2,Returning_Visitor,False,False
3.0,46.617123,0.0,0.0,10.0,594.8482,0.0,0.027248112,0.0,0.0,Dec,1,1,3,2,New_Visitor,False,False
4.0,96.42546,0.0,0.0,30.0,939.95154,0.012620405,0.045724235,0.0,0.6,May,2,2,7,4,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,5.0,631.2708,0.1495443,0.097203806,0.0,0.0,May,2,2,4,13,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,17.0,314.78915,0.2,0.114667766,0.0,0.8,May,3,2,7,13,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.6,May,3,2,6,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,1.6554728,0.0,0.2,0.2,0.0,0.0,Dec,1,1,4,8,Returning_Visitor,False,False
4.0,1398.7777,0.0,0.0,53.0,3587.4668,0.0,0.01903691,0.0,0.0,June,2,2,2,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.8,May,2,2,6,3,Returning_Visitor,False,False
14.978112,274.18896,0.0,0.0,28.0,1056.3009,0.01815394,0.044444446,22.438663,0.0,Nov,2,5,3,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Dec,1,1,9,3,Returning_Visitor,False,False
3.0,68.83435,0.0,0.0,12.0,1054.7638,0.05689466,0.05991157,0.0,0.6,May,3,2,2,4,Returning_Visitor,False,False
3.0,156.82951,0.0,0.0,27.0,895.47253,0.0,0.02203789,0.0,0.0,Aug,2,2,6,1,Returning_Visitor,False,False
2.0,84.04014,0.0,0.0,31.0,2183.6956,0.014285714,0.043163344,34.738544,0.0,Nov,2,2,6,6,Returning_Visitor,False,False
0.0,0.0,3.0,233.55486,8.795877,194.52371,0.0,0.03333333,0.0,0.0,May,2,2,1,5,New_Visitor,False,False
5.0,96.98149,0.0,0.0,20.0,395.04675,0.0,0.0029761116,0.0,0.8,May,2,2,3,2,Returning_Visitor,False,False
3.0,2251.5034,4.0,84.360695,34.175167,1882.4059,0.0062401174,0.028571429,0.0,0.0,Dec,2,5,1,3,Returning_Visitor,False,False
4.0,91.54084,0.0,0.0,64.09318,1677.0248,0.0,0.005016132,0.0,0.0,Mar,3,2,3,9,Returning_Visitor,True,False
0.0,0.0,0.0,636.65967,0.0,0.0,0.2,0.2,0.0,0.0,Mar,2,3,3,6,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,6.0,81.8581,0.0,0.05083627,0.0,0.0,Mar,2,2,1,1,Returning_Visitor,False,False
3.0,151.68782,0.0,0.0,5.9716334,135.52615,0.0,0.037476167,0.0,0.0,Oct,1,1,8,2,Returning_Visitor,True,False
0.0,0.0,1.0,92.94375,39.63903,1420.5315,0.0,0.02260257,5.9786797,0.0,May,2,2,1,6,Returning_Visitor,False,True
3.0,94.743065,0.0,0.0,24.0,439.4864,0.0,0.012528857,89.699684,0.0,Nov,1,1,4,2,New_Visitor,False,True
3.0,779.4443,1.0,159.82498,31.0,999.06494,0.0,0.0,0.0,0.0,Nov,2,4,4,3,New_Visitor,False,False
0.0,0.0,0.0,0.0,11.0,187.02527,0.04265746,0.17181142,0.0,0.0,Dec,2,10,1,1,Returning_Visitor,False,False
