Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0.0,0.0,0.0,0.0,110.02056,29480.67,0.0,0.1,0.0,0.0,Nov,1,2,8,10,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,251.56833,10821.573,0.0,0.2,0.0,0.0,Aug,1,1,6,1,Returning_Visitor,False,False
13.912861,175.94032,0.0,0.0,300.8706,10871.393,0.2,0.2,0.0,0.0,May,3,2,6,13,Returning_Visitor,False,False
0.0,0.0,23.494469,2549.3032,323.22037,47897.445,0.2,0.2,0.0,0.0,Nov,2,2,3,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,312.48206,5852.138,0.2,0.2,0.0,1.0,May,2,2,1,1,Returning_Visitor,True,False
26.974646,1310.3445,0.0,0.0,589.5497,39459.12,0.0,0.04077238,0.0,0.0,Nov,2,2,1,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,143.30884,60464.816,0.2,0.2,0.0,0.0,June,2,2,6,1,Returning_Visitor,False,False
16.081345,874.0099,0.0,0.0,701.1443,62198.816,0.2,0.1244868,0.0,0.0,Nov,3,2,3,2,Returning_Visitor,False,False
0.0,0.0,23.958475,2543.793,652.3387,62900.26,0.0,0.06734262,0.0,0.0,Nov,2,2,1,2,Returning_Visitor,False,False
17.55629,3342.7915,23.914444,2539.0505,283.50488,20333.084,0.0,0.054921277,0.0,0.0,Mar,1,2,1,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,698.1072,63308.18,0.1,0.12661366,0.0,0.0,Nov,2,2,1,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,30.153406,9828.786,0.0,0.2,361.02887,0.0,Dec,2,5,3,2,Returning_Visitor,False,True
27.0,3367.8577,23.995686,2549.375,702.00696,63973.523,0.2,0.2,349.4881,1.0,May,2,2,3,2,Returning_Visitor,False,False
27.0,3398.75,24.0,0.0,705.0,63973.523,0.0,0.0,361.76373,1.0,May,2,7,3,3,Returning_Visitor,False,False
14.569342,3313.6223,0.0,0.0,227.32135,53308.695,0.2,0.2,103.26685,0.0,Nov,3,2,6,1,Returning_Visitor,False,False
20.830172,3398.75,23.986376,2540.6338,256.0167,63890.02,0.2,0.2,0.0,0.0,May,1,1,1,3,Returning_Visitor,False,False
10.0,3398.75,0.0,0.0,0.0,63973.523,0.0,0.0,0.0,0.0,Mar,2,4,6,2,Returning_Visitor,False,False
26.915499,3377.136,0.0,0.0,704.7767,63932.91,0.2,0.2,0.0,0.0,Nov,3,2,3,1,Returning_Visitor,False,False
27.0,3398.4258,24.0,2549.375,678.561,63703.555,0.12993759,0.2,56.433636,0.0,Dec,3,2,4,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,180.32751,59234.117,0.2,0.2,0.0,1.0,May,2,2,1,11,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,90.7952,10413.628,0.0,0.1,0.0,0.0,Dec,2,2,4,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,129.8749,38057.547,0.0,0.06666667,0.0,0.0,Nov,1,1,4,2,Returning_Visitor,True,False
26.316845,3056.4155,2.0,57.416748,525.52277,52917.984,0.0,0.025,361.76373,0.0,Nov,2,1,1,2,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,31.0,9484.149,0.2,0.2,0.0,0.0,Dec,2,2,7,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,290.62424,38495.207,0.2,0.2,0.0,0.0,Jul,3,2,3,13,Returning_Visitor,False,False
0.0,0.0,6.0,0.0,629.1814,4626.0396,0.2,0.2,0.0,0.0,Jul,3,2,1,3,Returning_Visitor,False,False
25.411827,544.5475,23.966635,2549.375,427.5516,63973.523,0.2,0.2,0.0,0.0,Dec,2,2,1,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,704.8326,63971.125,0.2,0.12206822,0.0,0.0,Nov,2,2,1,2,Returning_Visitor,False,False
27.0,3381.393,0.0,0.0,704.1117,63966.56,0.2,0.2,0.0,1.0,May,2,2,1,6,Returning_Visitor,False,False
26.873413,3398.75,23.984383,2549.0796,703.88336,63161.37,0.022222223,0.1,347.96375,0.0,Nov,2,2,1,2,Returning_Visitor,False,True
26.962898,3093.5608,0.0,0.0,226.78772,12397.415,0.0,0.06666667,328.51422,0.0,May,2,2,7,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,100.3447,4788.6953,0.2,0.2,0.0,0.0,May,2,2,3,6,Returning_Visitor,False,False
26.151823,3396.6865,0.0,0.0,269.8956,7778.8057,0.2,0.14909384,136.63063,0.0,May,2,2,1,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,177.5839,41407.0,0.0,0.16113722,0.0,0.0,Nov,2,2,1,1,Returning_Visitor,False,False
26.052315,3158.0264,1.0,0.0,227.5516,56603.082,0.0,0.042729303,0.0,0.0,June,2,4,1,4,Returning_Visitor,False,False
26.860603,3361.5273,0.0,0.0,705.0,63973.523,0.2,0.2,0.0,0.0,Oct,2,2,1,1,Returning_Visitor,False,False
25.099703,2725.3735,0.0,0.0,223.35078,23934.523,0.0,0.11605392,0.0,0.0,Nov,3,2,6,1,Returning_Visitor,False,False
26.5862,3398.75,24.0,2549.375,705.0,63973.523,0.034890696,0.074949116,0.0,0.0,Dec,2,2,1,2,Returning_Visitor,False,False
0.0,0.0,24.0,2549.375,1.0,0.0,0.2,0.2,0.0,0.0,May,2,1,1,2,Returning_Visitor,True,False
26.586006,3394.4429,23.967007,2549.1548,704.7063,63890.82,0.2,0.2,0.0,0.0,May,2,2,2,13,Returning_Visitor,False,False
