Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0.0,0.0,0.0,0.0,546.78564,53972.223,0.2,0.2,0.0,1.0,May,3,2,1,4,Returning_Visitor,True,False
27.0,3398.2595,24.0,2549.2676,694.7289,63472.36,0.2,0.2,361.76373,0.0,Dec,2,2,1,2,Returning_Visitor,False,False
27.0,3398.75,24.0,2549.375,705.0,63964.562,0.2,0.2,338.5415,0.0,Dec,2,2,1,2,Returning_Visitor,False,False
26.957073,3398.75,3.2116537,0.0,683.9742,50911.234,0.0,0.1,0.0,0.0,Nov,1,1,1,2,Returning_Visitor,False,False
26.959442,3398.572,23.990374,2549.2515,588.3424,10728.349,0.0,0.09721517,0.0,0.0,Nov,1,1,1,2,Returning_Visitor,False,False
25.204956,3398.024,0.0,0.0,703.46674,61457.45,0.0,0.033228822,79.07605,0.0,Oct,2,5,1,2,Returning_Visitor,False,True
12.318669,3397.5933,0.0,0.0,587.8117,63564.566,0.2,0.2,0.0,0.0,Nov,1,1,1,3,Returning_Visitor,False,False
26.7919,2929.9712,0.0,0.0,141.47423,12849.422,0.0,0.1,0.0,0.0,May,2,2,1,1,Returning_Visitor,False,False
0.0,0.0,15.847089,2548.6772,704.9653,63973.523,0.2,0.2,0.0,0.0,Nov,2,2,1,2,Returning_Visitor,False,False
26.804993,3398.6492,15.780914,2518.692,678.469,63865.07,0.0,0.2,0.0,0.0,Dec,2,2,1,1,Returning_Visitor,False,False
26.98007,3398.75,24.0,2549.375,705.0,63973.523,0.2,0.2,314.58594,0.0,May,2,2,1,2,Returning_Visitor,False,False
26.997728,3386.697,0.0,0.0,693.66156,63961.227,0.040055674,0.13868514,0.0,0.0,Nov,2,2,1,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,51.41237,5236.489,0.0,0.05461253,361.19406,0.0,May,1,1,4,2,Returning_Visitor,False,True
16.678635,3398.673,0.0,0.0,568.83826,12083.645,0.2,0.2,0.0,1.0,May,3,2,2,1,Returning_Visitor,True,False
14.134872,615.16406,0.0,0.0,704.81775,63376.715,0.1,0.06938482,0.0,0.0,Nov,2,2,1,2,Returning_Visitor,False,False
27.0,3124.3777,0.0,0.0,703.7305,60960.766,0.036548786,0.2,323.73474,0.0,May,4,1,3,3,Returning_Visitor,True,True
26.99394,3324.1243,0.0,0.0,681.3795,63008.53,0.0,0.0825183,0.0,0.0,Nov,2,2,1,2,Returning_Visitor,False,False
26.508001,2974.1997,0.0,0.0,430.4828,61277.17,0.0,0.031094335,304.65036,0.0,May,2,2,3,4,Returning_Visitor,False,False
26.988777,3147.9883,23.939318,2549.375,613.69995,63906.383,0.2,0.2,0.0,0.0,Dec,2,2,1,3,Returning_Visitor,False,False
9.0,0.0,16.202326,1449.2665,96.62122,3039.603,0.02377217,0.2,0.0,0.0,Nov,1,1,3,2,Returning_Visitor,False,False
26.998621,3360.2903,3.0,0.0,704.8368,63901.402,0.044426266,0.0461691,134.21176,0.0,Nov,2,2,1,2,Returning_Visitor,False,True
12.405985,0.0,0.0,0.0,93.66754,60920.062,0.2,0.2,0.0,1.0,May,2,2,2,6,Returning_Visitor,False,False
11.0,40.154,0.0,0.0,0.5448848,0.0,0.2,0.2,0.0,0.0,May,1,1,6,2,Returning_Visitor,False,False
27.0,3398.267,24.0,2549.375,705.0,63973.523,0.2,0.13333334,14.262409,0.0,May,2,2,3,2,Returning_Visitor,False,False
26.504694,3364.2786,0.0,0.0,183.09128,47283.977,0.033207096,0.06872062,0.0,0.0,Nov,2,2,1,2,Returning_Visitor,False,False
