Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
4.0,45.132103,0.0,0.0,8.0,835.06854,0.0,0.06666667,0.0,0.0,Dec,2,2,3,2,Returning_Visitor,False,False
27.0,3398.75,24.0,0.0,705.0,63973.523,0.0,0.0,361.76373,1.0,May,2,7,3,3,Returning_Visitor,False,False
9.0,142.08968,6.0,1404.4423,293.52463,5972.5986,0.005963272,0.013890957,0.0,0.0,May,2,2,1,2,Returning_Visitor,False,False
16.264175,2369.9775,4.0,296.1626,43.834465,2339.3127,0.061902817,0.06666667,0.0,0.0,Nov,4,1,1,2,Returning_Visitor,True,False
8.0,189.68022,3.0,675.7132,53.0,1062.1516,0.0,0.023822123,0.0,0.0,Sep,2,2,1,4,Returning_Visitor,False,False
3.0,0.0,0.0,0.0,6.0,242.30609,0.108388044,0.2,0.0,0.0,May,3,2,3,4,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,9.0,949.9392,0.0,0.04648722,0.0,0.0,Mar,1,1,2,9,Returning_Visitor,True,False
4.0,305.98822,0.0,0.0,15.0,563.00604,0.0,0.015384615,0.0,0.0,Dec,3,3,1,2,New_Visitor,True,False
4.0,61.983105,4.0,201.90356,112.827415,3524.0906,0.007336815,0.025,20.81044,0.0,May,2,2,4,3,Returning_Visitor,False,False
4.0,161.73936,0.0,0.0,14.0,295.08987,0.0,0.028521676,0.0,0.0,May,1,2,1,2,Returning_Visitor,False,False
6.0,605.6215,0.0,0.0,11.443534,569.9389,0.03561314,0.05282444,0.0,0.6,May,1,1,7,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,146.42029,6812.3457,0.0043250383,0.010688398,19.474964,0.0,Nov,2,2,1,1,Returning_Visitor,True,True
0.0,0.0,0.0,0.0,24.0,1730.314,0.064530395,0.2,0.0,0.8,May,2,2,6,13,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,82.03602,2574.318,0.04339488,0.06666667,19.055986,0.0,May,2,2,7,1,Returning_Visitor,False,False
10.0,3398.75,24.0,2549.375,0.0,63973.523,0.0,0.0,49.574924,0.0,Jul,2,2,1,2,New_Visitor,True,False
5.0,79.058685,3.0,175.47438,89.29141,2445.9028,0.0,0.011091313,0.0,0.0,Sep,3,2,2,2,New_Visitor,True,False
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Nov,2,2,2,1,Returning_Visitor,False,False
5.0,420.75784,3.0,193.6062,156.99457,22430.922,0.0032390035,0.0125,33.311275,0.0,Mar,2,2,1,13,Returning_Visitor,False,True
2.0,155.12813,0.0,0.0,100.48979,2717.4502,0.0,0.012726677,0.0,0.0,Mar,2,2,1,2,Returning_Visitor,False,False
27.0,3398.75,24.0,0.0,705.0,63973.523,0.0,0.0,361.76373,1.0,May,2,7,3,3,Returning_Visitor,False,False
0.0,0.0,3.0,72.29074,81.45737,3589.0127,0.02564726,0.039323367,0.0,0.0,Nov,1,1,2,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,June,2,5,2,20,Returning_Visitor,False,False
27.0,3398.75,24.0,0.0,705.0,63973.523,0.0,0.0,361.76373,1.0,May,2,7,3,3,Returning_Visitor,False,False
5.0,467.4708,0.0,0.0,22.0,696.80646,0.0,0.04765293,0.0,0.0,Dec,3,2,4,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,30.0,1492.5774,0.011129041,0.025,316.07397,0.0,Dec,2,2,7,10,Returning_Visitor,False,True
27.0,3398.75,24.0,0.0,705.0,63973.523,0.0,0.0,361.76373,1.0,May,2,7,3,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,4.0,430.89246,0.0,0.074970976,0.0,0.0,May,2,2,4,4,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,35.4922,2431.5352,0.0,0.025,0.0,0.0,Dec,2,2,1,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,67.49076,8920.173,0.0125,0.020857878,0.0,0.0,Nov,2,2,3,3,Returning_Visitor,True,False
3.0,3395.7227,0.0,0.0,108.761536,3839.1018,0.0026522821,0.018212587,30.840588,0.0,Nov,2,2,7,3,Returning_Visitor,False,True
5.759399,143.47307,0.0,0.0,44.0,931.8318,0.021422893,0.057735946,0.0,0.0,Jul,2,2,1,1,Returning_Visitor,False,False
7.0,115.08423,0.0,0.0,26.647507,1648.199,0.028044412,0.054515995,0.0,0.0,May,1,1,1,4,Returning_Visitor,True,False
6.0,94.87839,0.0,0.0,154.92651,6064.84,0.0035979983,0.012845891,0.0,0.0,Mar,2,2,1,10,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,27.0,883.90015,0.07151066,0.084127754,0.0,0.0,Dec,3,2,3,1,Returning_Visitor,True,False
3.0,190.54915,0.0,0.0,13.0,226.65977,0.0,0.06666667,0.0,0.0,Oct,2,2,6,2,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0,0.0,Nov,2,2,2,1,Returning_Visitor,False,False
3.0,142.09323,0.0,0.0,22.0,432.77136,0.0,0.021762341,22.7593,0.0,Mar,2,4,2,1,Returning_Visitor,False,True
3.0,280.77762,1.0,95.584366,60.44018,3108.2485,0.013333333,0.039998367,0.0,0.0,Nov,4,2,1,2,Returning_Visitor,False,False
13.563131,2858.882,0.0,0.0,24.0,2259.2026,0.0,0.015693154,0.0,0.0,Mar,2,2,1,2,New_Visitor,True,False
0.0,0.0,0.0,0.0,28.0,1840.4364,0.0,0.04049524,0.0,0.0,Nov,2,2,1,2,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,32.0,761.4409,0.0,0.011111111,0.0,0.0,Dec,2,2,9,1,Returning_Visitor,False,False
4.0,307.37952,0.0,0.0,87.66985,2860.4038,0.0077981437,0.023345469,0.0,0.0,May,2,6,3,4,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.0,0.0,May,3,2,1,3,Returning_Visitor,False,False
