Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
2.0,742.8722,0.0,0.0,4.0,288.0273,0.02973244,0.042661104,27.011797,0.0,Jul,3,2,7,1,Returning_Visitor,False,False
3.0,63.724533,0.0,0.0,6.0,994.17975,0.0,0.0021790974,0.0,0.0,Sep,2,2,9,5,New_Visitor,False,False
3.0,45.72346,0.0,0.0,94.492645,1588.8436,0.0,0.0037081721,3.432328,0.0,Mar,4,2,1,3,Returning_Visitor,True,False
2.0,23.284672,1.0,134.2474,45.0,1620.3915,0.012143137,0.03333333,9.041845,0.0,Aug,2,2,8,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,27.0,1421.2094,0.033642206,0.05715034,0.0,0.6,May,1,1,6,4,Returning_Visitor,False,False
0.0,0.0,0.0,27.005241,51.934555,2262.4236,0.016322805,0.025668487,0.0,0.0,Mar,3,2,4,13,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,20.0,260.55347,0.0,0.019023549,0.0,0.0,Sep,1,1,7,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,37.0,4244.0938,0.0,0.022354482,0.0,0.0,Mar,2,4,1,2,Returning_Visitor,False,False
4.0,281.392,0.0,0.0,42.0,1784.7427,0.008151213,0.014279193,12.642137,0.0,Sep,4,2,1,4,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,8.0,218.38225,0.0,0.012288899,0.0,0.0,Mar,3,2,1,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,4.0,310.695,0.022085605,0.074985124,20.542099,0.0,Sep,2,2,4,20,Returning_Visitor,True,False
5.0,231.70859,0.0,0.0,7.0,243.72583,0.0,0.0,0.0,0.0,June,2,2,1,5,New_Visitor,False,False
0.0,0.0,0.0,0.0,23.0,609.4646,0.020273773,0.034167003,0.0,0.0,Nov,3,2,5,2,New_Visitor,False,False
11.015726,1167.8705,5.0,1172.3965,306.09927,19741.262,0.0038425305,0.015292431,0.0,0.0,Nov,2,2,1,2,Returning_Visitor,False,False
8.0,43.66188,1.0,0.0,278.59207,10529.152,0.0,0.010505259,6.175592,0.0,Nov,2,2,4,2,Returning_Visitor,False,False
7.0,110.875145,0.0,0.0,39.60052,1137.1715,0.011880337,0.030435732,6.210414,0.0,May,1,1,1,3,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,10.0,370.4182,0.03333333,0.06666667,9.269277,0.0,May,2,5,3,1,Returning_Visitor,False,False
4.0,198.21579,0.0,0.0,19.0,565.6191,0.0117102545,0.022222223,10.971403,0.0,May,1,1,3,3,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,13.361211,1310.9602,0.028571429,0.03999379,0.0,0.0,Dec,1,1,1,1,Returning_Visitor,True,False
3.0,90.26508,0.0,0.0,15.0,302.02335,0.028571429,0.05,0.0,0.6,May,2,2,3,2,Returning_Visitor,False,False
