Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
10.0,212.56335,0.0,0.0,117.50398,2515.5852,0.0,0.0003801701,0.0,0.0,Dec,2,4,4,3,Returning_Visitor,False,False
2.0,23.622852,0.0,0.0,11.0,292.58936,0.0,0.02044272,0.0,0.0,Mar,3,3,1,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,42.0,930.2417,0.028571429,0.04,0.0,1.0,May,3,2,3,13,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,39.0,2542.5398,0.0,0.010516911,0.0,0.0,Nov,2,4,3,2,Returning_Visitor,True,True
0.0,0.0,0.0,0.0,6.0,262.74826,0.0,0.010542543,0.0,0.0,May,3,3,7,2,New_Visitor,False,False
0.0,0.0,0.0,0.0,3.0,15.450163,0.05908557,0.2,0.0,0.0,Nov,2,2,1,10,Returning_Visitor,False,False
6.2293572,253.15376,0.0,0.0,14.0,296.66458,0.0,0.00871069,0.0,0.0,Dec,1,8,5,11,New_Visitor,False,False
6.0,121.46128,3.0,93.53309,97.67024,2262.5684,0.0035621556,0.016666668,11.730343,0.0,Nov,1,1,6,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,1.0,0.0,0.05,0.2,0.0,0.0,Mar,2,2,1,1,Returning_Visitor,False,False
11.321454,435.1653,1.0,49.37964,62.06397,1556.0262,0.008003514,0.02141017,32.38134,0.0,Nov,1,1,1,2,Returning_Visitor,False,False
2.0,34.79062,1.0,33.018684,52.0,1396.1432,0.0,0.013333333,0.0,0.0,Nov,2,2,1,2,New_Visitor,False,False
5.0,192.61374,0.0,0.0,22.0,1004.9229,0.0064078467,0.013948513,20.245369,0.0,May,3,2,7,4,Returning_Visitor,False,False
1.0,0.0,0.0,0.0,18.441027,655.8452,0.0,0.021853898,0.0,0.0,Nov,2,2,2,13,Returning_Visitor,False,False
3.0,65.79099,0.0,0.0,39.283817,1804.3372,0.0062029213,0.02136336,0.0,0.0,May,2,2,3,3,Returning_Visitor,False,False
5.0,241.27344,0.0,0.0,25.0,833.3234,0.03333333,0.048146497,0.0,0.0,May,3,2,6,2,Returning_Visitor,False,False
4.0,1009.5768,1.0,61.630142,101.84834,3376.468,0.0027722942,0.011567993,5.098673,0.0,Dec,1,1,7,1,Returning_Visitor,True,True
0.0,0.0,0.0,0.0,72.648636,2802.414,0.0061815167,0.026084835,0.0,0.0,Sep,2,2,2,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,47.0,1548.469,0.0,0.025587985,0.0,0.4,May,2,2,3,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,6.0,62.79648,0.0,0.09059136,0.0,0.6,May,2,2,2,4,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,14.682141,301.13168,0.0,0.018181818,0.0,0.0,Nov,2,2,2,10,Returning_Visitor,True,False
3.0,35.38791,0.0,0.0,64.278015,3035.2542,0.0038088637,0.010678809,0.0,0.0,Nov,2,2,8,8,New_Visitor,False,True
11.140061,169.5742,1.0,23.687143,104.6565,2010.8494,0.018991847,0.022679538,0.0,0.0,Aug,3,2,3,4,Returning_Visitor,False,False
1.0,90.57943,0.0,0.0,16.0,943.9326,0.0,0.013234792,33.633503,0.0,Nov,2,2,1,2,New_Visitor,False,True
4.0,46.200256,1.0,81.7826,39.483753,883.0468,0.0,0.009593778,100.33354,0.0,May,2,2,1,2,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,9.0,236.8572,0.0,0.0349149,0.0,0.0,Nov,1,1,4,2,Returning_Visitor,False,False
4.0,275.92462,5.0,53.052086,343.6928,10285.682,0.006020003,0.014285714,0.0,0.0,Nov,3,2,1,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Sep,3,2,2,1,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,19.0,1014.5892,0.0,0.01124476,76.49047,0.0,Dec,1,1,1,5,New_Visitor,False,True
0.0,0.0,0.0,0.0,9.0,789.92163,0.0,0.020891909,272.40366,0.0,Nov,2,5,1,1,New_Visitor,True,True
8.0,244.72092,1.0,352.8054,18.0,279.52567,0.0,0.0046455367,0.0,0.0,May,2,5,6,2,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,88.81245,3863.6567,0.006753338,0.026733821,0.0,0.0,Nov,2,5,3,1,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,11.0,611.73175,0.0,0.0098702675,0.0,0.0,Mar,1,1,9,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,5.0,203.54315,0.0,0.018819781,0.0,0.0,Dec,2,4,7,1,Returning_Visitor,False,False
2.0,129.4373,0.0,0.0,4.0,180.0227,0.0,0.05683848,0.0,0.0,Sep,2,2,1,2,Returning_Visitor,False,False
10.0,168.49188,0.0,0.0,25.0,723.76733,0.0,0.0068153134,0.0,0.0,May,2,5,5,4,New_Visitor,False,False
0.0,0.0,0.8127838,29.541264,26.0,1258.2826,0.025751416,0.030067516,0.0,0.0,Mar,3,2,1,13,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,21.0,401.35135,0.0,0.017543746,0.0,0.7102536,May,2,5,8,4,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,32.0,1145.5958,0.012251118,0.025,0.0,0.0,Oct,2,2,1,2,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,31.0,1214.0459,0.005140062,0.015834277,0.0,0.0,Nov,2,2,3,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,15.0,740.60846,0.018987028,0.015879035,0.0,0.0,Nov,2,2,3,6,Returning_Visitor,True,False
3.0,215.57466,0.0,0.0,33.0,1162.2206,0.0,0.015865399,12.411469,0.0,Nov,1,1,3,3,Returning_Visitor,False,True
0.0,0.0,1.0,0.0,18.0,393.19022,0.0,0.01,0.0,0.0,Nov,3,2,3,8,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,9.0,286.27866,0.04269632,0.056930214,0.0,0.0,Oct,4,1,3,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,16.0,276.80032,0.0,0.01565577,0.0,0.0,May,3,2,3,2,Returning_Visitor,False,False
6.0,89.020256,0.0,0.0,37.0,2390.9302,0.0045561143,0.03225155,0.0,0.0,Nov,2,2,7,1,Returning_Visitor,False,False
4.0,301.74142,0.0,0.0,18.0,916.1692,0.05,0.047414683,60.821503,0.6,May,1,1,1,3,Returning_Visitor,False,False
5.0,72.613365,0.0,0.0,97.74345,2830.3198,0.007888252,0.0256304,4.0976596,0.0,Oct,2,2,4,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,12.0,407.10513,0.0,0.024293113,0.0,0.8,May,3,2,1,3,Returning_Visitor,False,False
3.0,133.24649,0.0,0.0,26.0,1645.4211,0.0,0.004111925,0.0,0.0,Oct,2,2,4,2,New_Visitor,False,True
0.0,0.0,0.0,0.0,3.0,173.0503,0.0,0.060682278,0.0,0.0,Dec,8,13,9,20,Other,False,False
0.0,0.0,0.0,0.0,8.0,202.21637,0.024265243,0.034330975,0.0,0.0,Dec,3,2,7,1,Other,False,False
6.0,119.65476,0.0,0.0,39.0,939.5942,0.0,0.004376382,22.642166,0.0,Nov,3,2,3,2,New_Visitor,True,True
4.0347304,47.799007,1.0,15.382129,38.358414,614.6099,0.007407451,0.01871961,34.841652,0.0,Dec,1,1,1,8,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,1.6019329,0.0,0.1,0.2,0.0,0.4,May,2,2,4,13,Returning_Visitor,False,False
5.0,494.89813,0.0,0.0,46.063873,922.71954,0.0,0.010138897,0.0,0.0,Mar,3,2,9,11,Returning_Visitor,False,False
10.0,153.71664,0.0,0.0,101.540764,1821.5493,0.0,0.005889918,46.70031,0.0,Nov,3,2,1,2,Returning_Visitor,False,True
2.0,21.157257,0.0,0.0,13.0,1013.926,0.0,0.017337235,28.360323,0.0,June,2,5,3,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,3.0,66.23331,0.0,0.055199012,0.0,0.0,May,1,1,3,4,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,May,3,2,1,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,17.0,1602.6704,0.06666667,0.11869797,0.0,0.0,June,2,2,4,13,Returning_Visitor,False,False
6.0,39.394444,0.0,0.0,6.0,33.20977,0.0,0.03333333,0.0,0.0,May,2,2,4,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0,0.6,May,1,1,1,6,Returning_Visitor,False,False
3.0,146.9393,0.0,0.0,60.36428,2195.1226,0.0027445771,0.0125,0.0,0.0,Mar,2,2,4,7,Returning_Visitor,True,False
14.008426,324.827,4.0,88.491356,39.826385,1844.4218,0.0051733064,0.011111111,0.0,0.0,May,3,2,3,2,Returning_Visitor,False,False
1.0,5.4397035,0.0,0.0,17.0,514.5019,0.0,0.03333333,0.0,0.0,Mar,1,1,1,1,Returning_Visitor,True,False
