Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0.0,0.0,0.0,0.0,18.0,691.8556,0.023182074,0.045291767,7.44421,0.0,May,4,2,3,1,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,27.0,2046.7292,0.0024577219,0.025068713,0.0,0.0,May,4,1,2,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,4.0,37.45437,0.0,0.1,0.0,0.4,May,2,2,3,13,Returning_Visitor,False,False
2.0,116.67025,2.0,157.21358,110.86597,3732.6604,0.0037804183,0.0072998162,33.08921,0.0,Dec,2,2,3,2,Returning_Visitor,True,True
5.0,95.331505,0.0,0.0,42.0,607.60425,0.028571429,0.0548443,7.066841,0.0,Dec,3,2,4,1,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0,0.0,June,3,2,1,1,Returning_Visitor,False,False
10.426031,418.97757,1.0,71.1736,42.0,2528.0884,0.013007554,0.02306652,14.547682,0.0,Nov,1,2,1,2,Returning_Visitor,False,False
13.224107,282.55453,0.0,0.0,35.0,1169.0913,0.0,0.012467883,11.861067,0.0,May,2,2,6,1,Returning_Visitor,False,False
2.0,30.203482,0.0,0.0,24.0,1117.2455,0.0385836,0.07421932,0.0,0.0,Nov,3,2,8,2,Returning_Visitor,True,False
4.0,44.677986,0.0,0.0,11.0,193.67027,0.0,0.021434495,0.0,0.0,Nov,2,2,1,2,New_Visitor,True,False
5.0,150.21231,2.0,111.38977,43.19808,1992.1187,0.007692308,0.016666668,13.898825,0.0,Mar,2,2,6,10,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,1.7476811,0.0,0.2,0.2,0.0,0.6,May,3,2,5,13,Returning_Visitor,False,False
8.0,492.65228,3.0,89.77582,139.47438,4794.55,0.0036556113,0.018201308,0.0,0.0,Sep,2,2,1,5,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,39.0,1125.3949,0.0,0.0104069095,17.507242,0.0,May,2,4,4,2,Returning_Visitor,False,True
5.0,144.62329,4.0,350.9482,129.68448,4742.5063,0.00025458413,0.019798294,13.726022,0.0,Oct,2,2,1,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Nov,1,1,7,3,Returning_Visitor,True,False
4.0,105.13594,0.0,0.0,16.0,516.0963,0.0,0.027342202,0.0,0.0,Mar,2,5,9,1,Returning_Visitor,True,False
6.0,192.71237,2.0,70.0831,95.41529,4594.569,0.0034758388,0.01586722,0.0,0.0,Mar,3,2,1,2,Returning_Visitor,False,False
3.0,50.681866,0.0,0.0,4.0,98.94148,0.0,0.016666668,0.0,0.0,Mar,3,2,1,2,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0,0.0,Mar,3,2,1,3,Returning_Visitor,False,False
2.0,21.769547,0.0,0.0,5.0,75.63348,0.0,0.01817057,0.0,0.0,Nov,2,2,4,6,Other,False,False
2.0,54.65493,0.0,0.0,11.0,877.4579,0.022222223,0.08159813,0.0,0.0,Mar,2,5,3,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,2.0,29.008749,0.06666667,0.076650344,0.0,0.0,May,3,2,1,5,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,19.0,574.8487,0.01856307,0.03217023,0.0,0.0,May,1,1,1,2,Returning_Visitor,True,False
4.0,180.26613,0.0,0.0,15.0,361.03067,0.013300704,0.04,0.0,0.0,Jul,3,2,1,2,Returning_Visitor,False,False
5.0,53.492943,0.0,0.0,57.880997,2640.3542,0.0039241724,0.01,12.404755,0.0,May,2,2,4,8,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,16.223005,245.41203,0.0,0.023052428,0.0,0.0,Dec,2,5,5,2,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,5.0,281.96613,0.0,0.06794007,0.0,0.0,Jul,2,2,1,3,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,9.435476,241.92194,0.0,0.019179983,0.0,0.0,Nov,1,1,2,10,New_Visitor,False,False
4.0,274.6569,0.0,0.0,7.0,258.79077,0.06666667,0.08457464,0.0,0.0,Sep,3,2,4,1,Returning_Visitor,True,False
10.0,284.14786,2.5260808,61.68757,102.76264,3106.7488,0.0040132212,0.010377863,14.501389,0.0,Mar,1,1,7,10,Returning_Visitor,False,False
2.0,0.0,0.0,0.0,28.0,729.4735,0.028571429,0.042677656,10.950276,0.0,May,2,2,1,6,Returning_Visitor,False,False
3.0,272.62866,2.0,92.06514,20.0,605.7456,0.020254305,0.049806237,0.0,0.0,June,3,2,3,3,Returning_Visitor,True,False
8.0,167.60205,0.0,0.0,9.0,95.86912,0.026821047,0.045346197,0.0,1.0,May,3,2,2,2,Returning_Visitor,True,False
3.0,31.57878,0.0,0.0,17.0,175.72824,0.009066945,0.02946462,7.9177585,0.0,Jul,2,2,4,3,Returning_Visitor,False,False
2.864758,494.33517,2.0,120.05636,3.0,48.266586,0.03951578,0.08015991,0.0,0.0,Mar,2,2,1,1,Returning_Visitor,True,False
4.0,272.49896,2.0,17.326925,15.0,414.91888,0.0,0.008744431,54.07246,0.0,Mar,1,1,2,1,New_Visitor,True,True
5.0,125.787476,1.0,0.0,48.471878,4939.2817,0.011060406,0.03351034,0.0,1.0,May,1,2,3,2,Returning_Visitor,True,False
