Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0.0,0.0,0.0,0.0,2.0,58.261032,0.0,0.13333334,0.0,0.0,June,2,2,8,1,Returning_Visitor,False,False
10.0,97.513214,0.0,0.0,18.0,499.24448,0.034017842,0.040686503,0.0,0.0,Jul,2,2,6,1,Returning_Visitor,False,False
1.4537367,34.960503,0.0,0.0,80.919014,3893.7502,0.005351091,0.0267218,11.222199,0.0,Nov,2,2,3,8,Returning_Visitor,False,False
2.0,18.043053,0.0,83.47568,81.76567,4576.015,0.005962789,0.01916373,0.0,0.0,Nov,2,10,1,2,Returning_Visitor,True,False
7.0,263.1979,0.0,0.0,16.0,794.20544,0.02561263,0.04,0.0,0.0,Oct,1,1,1,3,Returning_Visitor,False,False
2.0,73.06237,0.0,7.8525133,22.0,352.05667,0.0,0.017721824,12.486362,0.0,May,1,1,1,4,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,78.532616,1181.9095,0.016666668,0.02,0.0,0.8,May,3,2,1,3,Returning_Visitor,False,False
1.7118087,31.849564,0.0,0.0,40.0,680.7186,0.0,0.010149155,0.0,0.0,Nov,2,2,9,2,Returning_Visitor,False,False
1.0,5.0,0.0,0.0,19.0,703.6503,0.0,0.025872681,0.0,0.0,May,2,2,1,2,Returning_Visitor,True,False
1.0,122.80461,0.0,0.0,18.0,660.2806,0.0,0.009090909,0.0,0.0,Mar,2,2,1,8,Returning_Visitor,True,False
2.0,20.715761,0.0,0.0,11.0,1643.1494,0.0,0.028571429,0.0,0.0,Mar,2,5,1,8,New_Visitor,True,False
7.0,417.9547,2.0,166.11572,95.827576,5294.6553,0.011103737,0.015986161,4.511705,0.0,Jul,3,2,9,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,22.0,447.6158,0.0,0.015784986,0.0,0.0,Aug,2,2,4,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,24.0,885.74164,0.0,0.0018978822,246.49522,0.0,Nov,2,4,1,5,New_Visitor,True,True
9.0,290.42465,3.0,222.89302,104.14209,4402.4873,0.0059790043,0.027217466,0.0,0.0,May,2,4,1,1,Returning_Visitor,False,False
7.0,72.551895,0.0,0.0,17.0,263.8124,0.009670339,0.032321744,0.0,0.0,Nov,3,2,1,8,Returning_Visitor,False,False
3.0,438.4801,0.0,0.0,31.64738,1944.0818,0.0,0.0,15.123671,0.0,Jul,2,10,2,2,Returning_Visitor,True,True
1.0,53.68219,0.0,0.0,15.0,186.6971,0.04,0.1,0.0,0.0,Mar,1,1,1,1,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,13.0,646.2017,0.04,0.09290362,0.0,0.0,May,3,2,1,4,Returning_Visitor,False,False
4.0,906.3256,22.75225,2549.375,162.914,11681.973,0.0100075165,0.034407172,0.0,0.0,June,3,2,1,13,Returning_Visitor,True,False
4.0,207.2967,4.0,82.868126,90.509155,2034.9675,0.0048021767,0.02724013,7.40654,0.0,Nov,2,2,1,13,Returning_Visitor,False,False
5.0,80.75906,0.0,0.0,21.0,1430.9286,0.0,0.009090909,0.0,0.0,May,2,4,2,2,New_Visitor,False,False
0.0,0.0,0.0,0.0,14.0,253.87218,0.0,0.006873671,21.439562,0.0,Nov,1,8,8,11,New_Visitor,True,True
0.0,0.0,0.0,0.0,22.0,1736.6959,0.009109338,0.052929904,0.0,0.0,May,2,2,4,4,Returning_Visitor,False,False
6.0,2699.5615,2.0,268.6328,29.0,2144.1392,0.008442587,0.04,0.0,0.0,Mar,1,1,1,8,Returning_Visitor,False,False
1.0,48.204216,0.0,0.0,10.0,274.13876,0.009199948,0.022209754,0.0,0.6,May,1,1,3,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,9.924336,0.0,0.2,0.2,0.0,0.0,Dec,1,2,4,1,Returning_Visitor,False,False
2.0,64.3689,4.0,255.72054,58.354782,3088.7856,0.0,0.03664323,7.998966,0.0,Dec,2,2,1,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,4.0,765.3382,0.0,0.03747962,0.0,0.0,Mar,3,6,1,13,Returning_Visitor,True,False
2.0,10.291386,0.0,0.0,60.0,852.8385,0.004465334,0.015384615,0.0,0.0,Nov,1,2,1,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,49.0,2080.3267,0.047937647,0.06666667,0.0,0.0,Nov,3,2,4,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,30.285791,1108.0728,0.022615593,0.05,0.0,0.0,June,4,1,7,1,Returning_Visitor,False,False
1.0,186.13387,1.0,125.709,21.954033,784.5487,0.0,0.014267966,19.689455,0.0,Dec,2,2,3,2,Returning_Visitor,False,False
18.516508,533.8646,0.0,0.0,89.76786,3260.3323,0.0024543514,0.008834021,0.0,0.0,Nov,2,2,1,2,Returning_Visitor,False,False
7.0,49.727554,0.0,0.0,21.854013,507.69266,0.014203975,0.026741674,0.0,0.0,Mar,2,2,7,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,21.0,923.7684,0.0048825545,0.029227106,0.0,0.0,Nov,2,2,6,1,Returning_Visitor,True,False
11.0,118.66283,2.0,28.660898,51.972622,1822.7424,0.022814458,0.02077401,0.0,0.0,Nov,3,2,1,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,3.0,21.95828,0.0,0.2,0.0,1.0,May,2,2,7,2,Returning_Visitor,True,False
1.3928056,50.337257,2.0,32.44003,44.0,2243.325,0.006813875,0.03333333,18.365332,0.0,Aug,2,2,1,4,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,6.0,189.3985,0.0,0.07053132,0.0,0.6,May,2,2,4,4,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,3.0,79.01511,0.0,0.05,0.0,0.0,Nov,2,2,2,2,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,12.0,1077.8114,0.0,0.022668537,0.0,0.0,Nov,2,2,4,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,3.0,50.885246,0.054383375,0.10669691,0.0,0.0,Mar,2,2,5,4,Returning_Visitor,False,False
12.0,182.69368,0.0,0.0,82.82197,1460.4506,0.0,0.0,0.0,0.0,May,2,2,1,2,New_Visitor,False,False
0.0,0.0,0.0,0.0,27.0,1262.4845,0.0,0.0008470213,0.0,0.0,Nov,1,1,3,2,New_Visitor,False,False
0.0,0.0,0.0,0.0,7.0,211.58919,0.06349381,0.1,0.0,0.0,Dec,1,1,1,3,Returning_Visitor,False,False
6.0,465.5947,3.0,246.2885,86.58708,3522.7834,0.003113369,0.014219128,8.931602,0.0,Aug,3,2,8,2,Returning_Visitor,True,True
10.0,128.6813,0.0,0.0,90.15939,5361.754,0.0,0.019157588,7.645507,0.0,Aug,4,1,6,4,Returning_Visitor,True,True
0.0,0.0,0.0,0.0,7.0,133.59166,0.031189632,0.06959567,0.0,0.6,May,1,1,3,3,Returning_Visitor,False,False
0.0,0.0,2.0,45.37276,75.63085,3386.9368,0.02722549,0.04,0.0,0.0,Nov,2,2,4,2,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,17.874584,769.1707,0.012870033,0.033472214,0.0,0.0,Mar,2,2,9,3,Returning_Visitor,False,False
